			UPD: 08:11 PM

EV (AVG)	EV (365)	Team	Player	IN	FD	AVG	bet365	DK	MGM	CZ	PB	BR	PN	BS
-32.0	-30.2	CIN	Hunter Renfroe	*	480	455/-748	475/-700	425/-750	400/-750	320	475/-800	475/-770	-	-
-34.5	-30.7	DET	Jake Rogers	*	560	564/-993	575/-900	550/-1000	-	410	600/-1099	600/-1115		499
-27.4	-30.9	COL	Kris Bryant	*	440	569/-1171	700/-1150	600/-1200	550/-1400	525	550/-1000	575/-1000	-	-
-34.4	-31.8	PHI	Alec Bohm	*	750	614/-1143	650/-1050	600/-1200	550/-1400	470	550/-1000	600/-1115		599
-38.4	-32.3	MIN	Edouard Julien	*	600	628/-1312	675/-1100	650/-1400	600/-1600	490	700/-1250	575/-1115		599
-36.5	-32.4	STL	Tommy Edman	*	630	569/-1075	600/-950	600/-1200	525/-1200	420	550/-1000	510/-835	-	-
-37.8	-32.5	MIN	Willi Castro	*	870	753/-1641	825/-1400	700/-1800	675/-2000	625	800/-1499	700/-1430		700
-36.4	-32.5	LAA	Randal Grichuk		680	696/-1641	825/-1400	700/-1800	625/-2000	625	800/-1499	540/-910		700
-32.5	-32.5	KC	Nick Loftin	*	600	708/-1493	825/-1400	700/-1600	-	625	-	-	-	-
-30.2	-32.7	STL	Nolan Gorman	*	420	465/-800	525/-800	450/-800	425/-800	350	475/-800	510/-835		449
-33.9	-33.1	COL	Elehuris Montero	*	630	605/-1105	650/-1050	550/-1000	550/-1200	460	650/-1199	-		599
-39.3	-33.7	DET	Andy Ibanez	*	680	656/-1354	700/-1150	650/-1600	600/-1600	500	650/-1199	-	-	-
-30.3	-34.1	OAK	Nick Allen	*	1060	1302/-6600	1600/-6600	-	1350	2500	-	-		1199
-39.3	-35.5	SF	Joc Pederson		500	453/-794	475/-700	475/-800	425/-900	290	475/-800	410/-670	435	426
-42.3	-36.1	SEA	Ty France		750	792/-1975	925/-1600	750/-2000	725/-2500	675	1000/-2000	650/-1250		747
-42.0	-36.1	CHC	Nico Hoerner		630	779/-1975	925/-1600	750/-2000	700/-2500	675	1000/-2000	700/-1667		747
-41.1	-36.2	CIN	Tyler Stephenson	*	830	687/-1385	725/-1200	650/-1400	600/-1600	500	750/-1399	600/-1115		652
-40.7	-36.5	SF	Mike Yastrzemski		540	478/-857	500/-750	475/-900	425/-900	305	500/-899	480/-770		426
-42.1	-37.3	TEX	Nathaniel Lowe		600	707/-1680	825/-1400	750/-2000	675/-2000	575	800/-1499	600/-1250		700
-39.9	-37.6	SF	Wilmer Flores		520	501/-944	550/-850	500/-1000	475/-1000	340	-	460/-770		499
-45.7	-38.2	LAD	Miguel Rojas		900	1009/-3200	1225/-2500	1000/-4000	875/-5000	1000	1100/-2500	-		953
-37.5	-38.2	COL	Brenton Doyle	*	750	762/-1704	925/-1600	750/-1800	650/-2000	650	800/-1499	-		700
-53.1	-38.8	TOR	Kevin Kiermaier	*	900	950/-3031	1075/-2000	900/-3500	825/-5000	800	1200/-2994	-		801
-43.0	-39.6	DET	Javier Baez	*	750	721/-1610	825/-1400	700/-1800	650/-2000	550	750/-1399	650/-1250	-	-
-39.6	-40.3	CHC	Mike Tauchman		470	684/-1785	925/-1600	700/-1800	675/-2000	625	-	650/-1250	-	-
-44.3	-40.5	CLE	Jose Ramirez		540	552/-1018	575/-900	550/-1100	500/-1100	340	550/-1000	650/-1250		499
-42.1	-40.8	COL	Brendan Rodgers	*	630	788/-2061	1025/-1800	750/-2000	675/-2500	700	-	900/-2500		747
-50.7	-41.1	OAK	Tony Kemp	*	1000	1047/-3378	1225/-2500	950/-4000	850/-5000	950	1200/-2994	1150/-5000		953
-23.5	-41.1	STL	Lars Nootbaar	*	500	817/-2033	1225/-2500	750/-2000	675/-2500	950	800/-1499	-		953
-43.3	-41.8	MIL	Willy Adames		400	521/-1058	600/-950	550/-1100	500/-1100	350	600/-1099	450/-715		549
-47.8	-42.3	TB	Taylor Walls		900	889/-2482	1075/-2000	850/-3000	800/-3000	750	1050/-2247	750/-1667		801
-45.2	-42.3	LAA	Nolan Schanuel		1060	957/-2250	1075/-2000	850/-3000	-	750	1000/-2000	-		801
-47.1	-42.3	CHW	Andrew Benintendi		870	874/-2449	1075/-2000	850/-2500	775/-3000	750	1100/-2500	650/-1430		801
-50.3	-42.7	KC	Maikel Garcia	*	1100	910/-2307	1025/-1800	850/-2500	750/-3000	675	1050/-2247	850/-2000		747
-47.5	-42.7	CHW	Korey Lee		870	833/-2213	1025/-1800	800/-2500	725/-2500	675	-	-		747
