			UPD: 08 AM

EV (AVG)	EV (365)	Team	Player	FD	AVG	bet365	DK	MGM	CZ	PB	BR	PN	BS	Kambi
-4.6	2.8	MIL	Joey Wiemer	750	658/-1466	725/-1200	650/-1600	600/-1600	700	-	-	-	-	
-5.0	-2.6	MIL	Jesse Winker	600	587/-1162	650/-1050	600/-1200	550/-1400	600	550/-1000	600/-1115	-	-	600/-1115
-5.1	0	PIT	Carlos Santana	680	625/-1333		650/-1400	575/-1400	400	650/-1199	-	-	-	
-6.8	-3.6	TOR	Matt Chapman	390	456/-775	475/-700	450/-800	425/-800	380	475/-800	480/-770	-	-	480/-770
-6.9	-5.0	MIN	Carlos Correa	520	550/-1037	600/-950	550/-1100	500/-1100	525	550/-1000	550/-1000	-	-	550/-1000
-7.3	-3.3	CIN	Tj Friedl	680	668/-1362	725/-1200	650/-1400	600/-1600	850	700/-1250	650/-1250	-	-	600/-1250
-7.7	-4.2	CIN	Jake Fraley	470	506/-962	550/-850	500/-1000	475/-1100	625	500/-899	510/-835	-	-	525/-910
-8.1	-3.1	NYM	Brett Baty	800	731/-1649	825/-1400	700/-1800	650/-2000	650	750/-1399	-	-	-	
-8.6	0	WSH	Lane Thomas	560	575/-1166		600/-1200	525/-1200	490	600/-1099	-	-	-	
-8.8	-6.6	BAL	Austin Hays	560	600/-1150	650/-1050	600/-1200	550/-1200	625	-	600/-1115	-	-	600/-1115
-8.9	0	CHC	Cody Bellinger	560	583/-1166		600/-1200	550/-1200	480	600/-1099	-	-	-	
-9.1	0	CLE	Josh Naylor	600	600/-1266		600/-1200	550/-1400	370	650/-1199	-	-	-	
-9.3	-7.0	LAD	Freddie Freeman	420	493/-875	525/-800	500/-900	475/-1000	500	475/-800	525/-910	-	-	525/-910
-9.5	0	PIT	Jared Triolo	1200	883/-2666		850/-3000	800/-3000	525	1000/-2000	-	-	-	
-9.8	-9.2	TB	Luke Raley	350	443/-737	475/-700	450/-750	400/-750	440	450/-750	475/-770	-	-	475/-770
-10.0	-6.9	TB	Wander Franco	750	750/-1566	825/-1400	700/-1600	625/-1600	700	850/-1664	750/-1667	-	-	750/-1667
-10.1	-9.5	SD	Gary Sanchez	400	481/-850	525/-800	475/-900	450/-900	410	475/-800	525/-910	-	-	525/-910
-10.6	-5.4	DET	Zack Short	600	616/-1300	675/-1100	600/-1400	575/-1400	525	-	-	-	-	
-11.0	0	CHC	Seiya Suzuki	500	541/-1100		550/-1100	525/-1200	460	550/-1000	-	-	-	
-11.4	0	WSH	Keibert Ruiz	600	608/-1333		600/-1400	575/-1400	525	650/-1199	-	-	-	
-11.5	0	CHC	Christopher Morel	300	400/-666		400/-650	375/-650	320	425/-700	-	-	-	
-11.9	-4.3	ARI	Alek Thomas	900	791/-2033	925/-1600	750/-2000	700/-2500	900	-	-	-	-	
-12.4	-12.6	LAD	Will Smith	350	462/-775	500/-750	475/-800	425/-800	450	450/-750	460/-715	-	-	
-12.4	-9.2	TOR	Vladimir Guerrero	350	462/-775	475/-700	475/-800	425/-800	400	475/-800	450/-715	-	-	450/-715
-12.6	-7.9	TB	Jose Siri	520	600/-1149	625/-1000	600/-1200	525/-1200	600	650/-1199	550/-1000	-	-	550/-1000
-12.9	0	WSH	Joey Meneses	750	700/-1733		700/-1800	650/-2000	625	750/-1399	-	-	-	
-12.9	-10.2	NYM	Francisco Alvarez	420	508/-950	550/-850	500/-1000	475/-1000	430	-	-	-	-	
-13.0	-4.3	NYM	Jeff Mcneil	900	850/-2025	925/-1600	800/-2000	675/-2500	750	1000/-2000	700/-1430	-	-	700/-1430
-13.3	-10.4	MIL	William Contreras	470	556/-1062	600/-950	550/-1100	525/-1200	575	550/-1000	600/-1115	-	-	600/-1115
-13.3	-10.4	MIN	Alex Kirilloff	600	656/-1349	725/-1200	650/-1400	600/-1600	675	650/-1199	575/-1115	-	-	575/-1115
-13.5	-9.9	TEX	Nathaniel Lowe	500	593/-1124	625/-1000	600/-1200	550/-1200	575	600/-1099	575/-1115	-	-	
-13.6	-5.4	BAL	Adley Rutschman	600	643/-1374	675/-1100	650/-1600	600/-1600	675	650/-1199	650/-1250	-	-	650/-1250
-14.0	-12.5	SD	Trent Grisham	500	593/-1137	650/-1050	600/-1200	525/-1200	490	600/-1099	700/-1430	-	-	700/-1430
-14.3	0	DET	Matt Vierling	680	683/-1599		700/-1800	600/-1600	550	750/-1399	650/-1250	-	-	650/-1250
-14.4	-7.7	PHI	Bryson Stott	630	687/-1449	725/-1200	650/-1600	625/-1600	700	750/-1399	850/-2000	-	-	850/-2000
-15.0	-10.6	MIN	Edouard Julien	520	612/-1212	650/-1050	600/-1200	550/-1400	575	650/-1199	525/-910	-	-	525/-910
-15.1	-5.4	NYY	Anthony Volpe	600	675/-1399	675/-1100	650/-1600	575/-1400	700	800/-1499	600/-1115	-	-	600/-1115
-15.4	0	PIT	Nick Gonzales	900	875/-2124		850/-2500	-	525	900/-1748	-	-	-	
-15.9	-13.0	TOR	Brandon Belt	470	566/-1133	625/-1000	550/-1200	525/-1200	490	-	540/-1000	-	-	540/-1000
-16.4	-7.7	PHI	Alec Bohm	630	683/-1533	725/-1200	700/-1800	625/-1600	750	-	850/-2000	-	-	850/-2000
-16.6	-12.5	TOR	Daulton Varsho	500	600/-1216	650/-1050	600/-1200	550/-1400	500	-	575/-1000	-	-	575/-1000
-17.1	-13.1	MIL	Brice Turang	870	862/-2137	1025/-1800	800/-2500	725/-2500	850	900/-1748	700/-1430	-	-	700/-1430
-19.3	0	KC	Maikel Garcia	900	762/-2500		800/-2500	725/-2500	700	-	900/-2500	-	-	900/-2500
-19.5	-16.5	CIN	Jonathan India	460	600/-1187	650/-1050	600/-1200	550/-1400	750	600/-1099	575/-1000	-	-	575/-1000
-20.2	-13.9	SD	Jake Cronenworth	560	700/-1449	725/-1200	700/-1600	625/-1600	600	750/-1399	600/-1115	-	-	600/-1115
-20.6	0	CHC	Trey Mancini	420	558/-1133		550/-1100	525/-1200	460	600/-1099	-	-	-	
-20.9	-17.8	TEX	Leody Taveras	700	812/-1837	925/-1600	750/-2000	675/-2000	800	900/-1748	-	-	-	
-22.0	-18.0	MIL	Owen Miller	870	918/-2375	1075/-2000	850/-2500	750/-3000	900	1000/-2000	650/-1430	-	-	650/-1430
-22.3	-18.4	CIN	Tyler Stephenson	600	731/-1649	825/-1400	700/-1800	650/-2000	950	750/-1399	-	-	-	
-22.3	-18.4	SEA	Ty France	600	731/-1649	825/-1400	700/-1800	650/-2000	675	750/-1399	600/-1250	-	-	600/-1250
-22.9	-17.4	SEA	Jp Crawford	520	681/-1449	725/-1200	650/-1600	600/-1600	650	750/-1399	750/-1667	-	-	750/-1667
-23.9	0	CLE	Jose Ramirez	470	641/-1350		650/-1400	575/-1400	375	700/-1250	-	-	-	
-24.0	-15.5	KC	Dairon Blanco	830	866/-2433	1025/-1800	850/-3000	725/-2500	675	-	-	-	-	
-24.2	-24.2	CHW	Andrew Benintendi	830	1125/-2200	1125/-2200						-	-	750/-1667
-25.2	0	CHC	Nico Hoerner	900	900/-2749		850/-3000	800/-3000	700	1050/-2247	-	-	-	
-27.0	0	CHC	Miguel Amaya	560	716/-1766		700/-1800	650/-2000	625	800/-1499	-	-	-	
-28.0	-15.5	ARI	Jake Mccarthy	1000	987/-3300	1125/-2200	900/-3500	825/-5000	1200	1100/-2500	850/-2500	-	-	950/-2500
-28.4	-26.0	LAD	David Peralta	500	725/-1599	825/-1400	700/-1600	625/-2000	700	750/-1399	600/-1250	-	-	600/-1250
-28.5	0	WSH	Corey Dickerson	870	850/-3000		900/-3000	800/-3000	800	-	-	-	-	
-28.6	-28.6	MIN	Michael Taylor	680	1075/-2000	1075/-2000						-	-	
-28.6	0	WSH	Alex Call	800	875/-2666		850/-3000	775/-3000	700	1000/-2000	-	-	-	
-29.8	-15.5	ARI	Geraldo Perdomo	1000	950/-3566	1125/-2200	900/-3500	825/-5000	1000	-	1150/-5000	-	-	1150/-5000
-29.9	-27.6	BAL	Ramon Urias	480	731/-1599	825/-1400	700/-1600	650/-2000	700	750/-1399	-	-	-	
-30.0	0	CLE	Amed Rosario	1060	975/-3833		950/-4000	875/-5000	625	1100/-2500	-	-	-	
-31.9	-27.7	SD	Ha Seong Kim	630	887/-2200	1025/-1800	800/-2500	725/-2500	700	1000/-2000	950/-2500	-	-	950/-2500
-32.1	0	DET	Miguel Cabrera	600	750/-2250		800/-2000	700/-2500	675	-	700/-1667	-	-	700/-1667
-32.9	-21.6	TOR	Whit Merrifield	1000	1081/-3749	1225/-2500	950/-4000	850/-5000	850	1300/-3497	850/-2000	-	-	850/-2000
-33.8	-14.2	BAL	Adam Frazier	1400	1218/-5750	1425/-3000	1100/-6000	950/-10000	1300	1400/-4000	850/-2500	-	-	850/-2500
-34.1	-32.0	TOR	George Springer	320	612/-1249	675/-1100	600/-1400	575/-1400	550	600/-1099	700/-1430	-	-	700/-1430
-34.6	-34.6	CHW	Tim Anderson	870	1425/-3000	1425/-3000						-	-	1050/-3335
-34.7	-28.6	NYY	Dj Lemahieu	680	900/-2666	1075/-2000	850/-3000	775/-3000	950	-	700/-1430	-	-	700/-1430
-35.6	-26.2	TOR	Kevin Kiermaier	900	1081/-3623	1225/-2500	1000/-4000	900/-5000	850	1200/-2994	-	-	-	
-35.8	-29.5	MIL	Blake Perkins	600	858/-2433	1025/-1800	800/-2500	750/-3000	850	-	-	-	-	
-35.8	-31.4	MIL	Andruw Monasterio	630	1008/-2415	1075/-2000	900/-3000	-	1000	1050/-2247	750/-1667	-	-	750/-1667
-40.2	-38.6	TOR	Bo Bichette	500	887/-2312	1075/-2000	800/-2500	775/-3000	750	900/-1748	700/-1667	-	-	700/-1667
-41.2	-37.5	SD	Xander Bogaerts	520	925/-2500	1075/-2000	850/-3000	775/-3000	750	1000/-2000	850/-2000	-	-	850/-2000
-42.6	-21.6	ARI	Gabriel Moreno	1000	1041/-5833	1225/-2500	1000/-5000	900/-10000	1200	-	-	-	-	
-42.8	-34.5	MIN	Donovan Solano	630	993/-3300	1125/-2200	900/-3500	850/-5000	950	1100/-2500	850/-2000	-	-	850/-2000
-43.2	0	PIT	Tucupita Marcano	1200	1025/-8000		1100/-6000	950/-10000	675	-	-	-	-	
-45.9	-46.8	TEX	Travis Jankowski	870	1375/-5000	1550/-5000	-	1200	1600	-	-	-	-	
-46.9	-29.6	LAD	Miguel Rojas	1000	1158/-7000	1425/-3000	1100/-8000	950/-10000	1300	-	1000/-3335	-	-	1000/-3335
-49.1	0	CLE	Will Brennan	1100	1350/-8496		1200/-10000	1050	750	1800/-6993	-	-	-	
-52.7	-39.3	MIN	Christian Vazquez	750	1175/-7000	1425/-3000	1100/-8000	1000/-10000	1200	-	1050/-3335	-	-	1050/-3335
-52.7	0	CLE	Andres Gimenez	680	1066/-6499		1000/-6000	900/-10000	675	1300/-3497	-	-	-	
-54.8	-34.3	NYY	Isiah Kiner Falefa	1000	1475/-11166	1450/-3500	1200/-20000	1050	1400	2200/-10000	950/-2500	-	-	
