NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Max Domi	DAL	'+120	A	g	0.5	0.27	0.4 - 0.17	0.24 - 0.31	23%	13%	20%	1,0,0,0,0,0,0,0,0,0	15%	'+300	0
Bryan Rust	PIT	'+115	H	g	0.5	0.22	0.35 - 0.1	0.18 - 0.25	22%	7%	20%	0,0,0,0,1,0,0,0,0,0	28%	'+245	0
Sam Bennett	FLA	-225	A	g	0.5	0.25	0.33 - 0.16	0.23 - 0.28	22%	33%	20%	0,0,0,0,1,0,1,0,0,1	26%	'+245	0
Tyler Seguin	DAL	'+120	A	g	0.5	0.26	0.31 - 0.18	0.3 - 0.22	22%	20%	20%	0,1,0,0,0,0,0,0,2,0	25%	'+300	0
Kent Johnson	CBJ	'+190	H	g	0.5	0.21	0.36 - 0.12	0.19 - 0.23	21%	20%	20%	0,0,0,1,0,0,0,0,1,0	0%	'+275	0
Pavel Zacha	BOS	-135	A	g	0.5	0.24	0.26 - 0.18	0.32 - 0.16	21%	13%	0%	0,0,0,0,0,0,0,0,1,1	20%	'+350	0
Eetu Luostarinen	FLA	-225	A	g	0.5	0.21	0.26 - 0.15	0.15 - 0.27	21%	13%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+340	0
Evan Rodrigues	COL	-140	H	g	0.5	0.23	0.13 - 0.37	0.27 - 0.19	21%	20%	0%	0,0,0,0,0,1,0,0,0,1	21%	'+250	0
Jt Compher	COL	-140	H	g	0.5	0.22	0.24 - 0.14	0.14 - 0.29	20%	20%	40%	0,0,0,1,1,0,0,0,0,1	22%	'+280	0
David Krejci	BOS	-135	A	g	0.5	0.23	0.3 - 0.05	0.22 - 0.24	20%	20%	20%	0,0,0,0,1,1,1,0,0,0	0%	'+350	0
Denis Malgin	COL	-140	H	g	0.5	0.23	0.31 - 0.21	0.06 - 0.37	20%	27%	0%	0,0,0,0,0,2,0,0,0,0	0%	'+350	0
Cody Glass	NSH	-145	H	g	0.5	0.19	0.21 - 0.13	0.12 - 0.25	19%	27%	40%	0,1,1,0,0,0,0,1,0,0	0%	'+170	0
Kasperi Kapanen	STL	'+125	A	g	0.5	0.24	0.37 - 0.1	0.27 - 0.21	19%	33%	40%	0,0,1,2,0,0,1,1,0,0	12%	'+350	0
Brandon Montour	FLA	-225	A	g	0.5	0.19	0.25 - 0.13	0.21 - 0.17	19%	27%	20%	0,1,0,0,0,1,0,0,0,0	13%	'+340	0
Lars Eller	COL	-140	H	g	0.5	0.19	0.2 - 0.17	0.29 - 0.11	19%	20%	20%	1,0,0,0,0,0,1,1,0,0	0%	'+425	0
Luke Evangelista	NSH	-145	H	g	0.5	0.31	0.29 - 0.36	0.44 - 0.14	19%	20%	0%	0,0,0,0,0,2,0,1,0,0	0%	'+190	0
Trent Frederic	BOS	-135	A	g	0.5	0.22	0.24 - 0.06	0.29 - 0.16	18%	20%	0%	0,0,0,0,0,0,0,1,1,1	11%	'+425	0
Kiefer Sherwood	NSH	-145	H	g	0.5	0.17	0.35 - 0.0	0.07 - 0.33	17%	20%	20%	0,0,0,0,1,0,0,0,0,1	11%	'+260	0
Garnet Hathaway	BOS	-135	A	g	0.5	0.17	0.22 - 0.0	0.11 - 0.22	17%	20%	20%	0,0,0,1,0,0,1,0,0,0	0%	'+475	0
Philip Tomasino	NSH	-145	H	g	0.5	0.17	0.48 - 0.0	0.25 - 0.09	17%	20%	0%	0,0,0,0,0,1,0,0,0,0	0%	'+190	0
Charlie Coyle	BOS	-135	A	g	0.5	0.17	0.18 - 0.12	0.24 - 0.11	17%	13%	0%	0,0,0,0,0,0,1,0,0,0	20%	'+350	0
Eric Staal	FLA	-225	A	g	0.5	0.2	0.26 - 0.11	0.09 - 0.3	17%	7%	0%	0,0,0,0,0,0,1,0,0,0	0%	'+310	0
Anton Lundell	FLA	-225	A	g	0.5	0.18	0.27 - 0.07	0.24 - 0.12	16%	13%	40%	2,1,0,0,0,0,0,0,0,0	23%	'+230	0
Jakub Lauko	BOS	-135	A	g	0.5	0.21	0.18 - 0.0	0.17 - 0.29	16%	20%	20%	0,1,0,0,0,0,0,2,0,0	0%	'+600	0
Nick Bonino	PIT	'+115	H	g	0.5	0.16	0.15 - 0.15	0.16 - 0.16	16%	7%	0%	0,0,0,0,0,1,0,0,0,0	21%	'+400	0
Jeff Carter	PIT	'+115	H	g	0.5	0.17	0.22 - 0.08	0.19 - 0.14	15%	13%	40%	0,1,0,0,2,0,0,0,0,0	22%	'+400	0
Colton Sissons	NSH	-145	H	g	0.5	0.15	0.21 - 0.08	0.16 - 0.14	15%	7%	0%	0,0,0,0,0,0,0,0,0,0	9%	'+300	0
Aaron Ekblad	FLA	-225	A	g	0.5	0.18	0.25 - 0.11	0.15 - 0.22	15%	13%	0%	0,0,0,0,0,0,0,0,2,0	20%	'+340	0
Alex Newhook	COL	-140	H	g	0.5	0.18	0.21 - 0.08	0.19 - 0.16	15%	0%	0%	0,0,0,0,0,0,0,0,0,0	15%	'+300	0
Tyson Barrie	NSH	-145	H	g	0.5	0.17	0.25 - 0.11	0.12 - 0.22	14%	13%	40%	0,0,1,1,0,0,0,0,0,0	10%	'+600	0
Tyler Bertuzzi	BOS	-135	A	g	0.5	0.14	0.15 - 0.13	0.14 - 0.14	14%	13%	40%	1,0,0,0,1,0,0,0,0,0	32%	'+310	0
Gustav Forsling	FLA	-225	A	g	0.5	0.16	0.21 - 0.1	0.26 - 0.05	14%	20%	20%	0,0,2,0,0,0,1,0,1,0	11%	'+600	0
Ryan Lomberg	FLA	-225	A	g	0.5	0.14	0.21 - 0.1	0.08 - 0.22	14%	20%	20%	0,0,0,1,0,0,0,0,1,0	16%	'+450	0
Miro Heiskanen	DAL	'+120	A	g	0.5	0.15	0.22 - 0.06	0.08 - 0.23	14%	20%	20%	0,0,0,0,1,0,0,0,0,1	9%	'+550	0
Yakov Trenin	NSH	-145	H	g	0.5	0.14	0.19 - 0.09	0.16 - 0.12	14%	7%	0%	0,0,0,0,0,0,0,0,0,0	22%	'+320	0
Calle Rosen	STL	'+125	A	g	0.5	0.17	0.22 - 0.11	0.05 - 0.27	14%	7%	0%	0,0,0,0,0,0,0,0,0,2	4%	'+550	0
Hampus Lindholm	BOS	-135	A	g	0.5	0.14	0.16 - 0.06	0.2 - 0.08	14%	20%	0%	0,0,0,0,0,1,0,0,1,1	6%	'+600	0
Kris Letang	PIT	'+115	H	g	0.5	0.18	0.2 - 0.14	0.1 - 0.26	14%	20%	0%	0,0,0,0,0,0,0,0,1,1	12%	'+450	0
Sean Kuraly	CBJ	'+190	H	g	0.5	0.16	0.32 - 0.07	0.1 - 0.21	14%	7%	0%	0,0,0,0,0,0,0,0,0,0	16%	'+370	0
Matt Nieto	COL	-140	H	g	0.5	0.14	0.19 - 0.0	0.23 - 0.07	14%	7%	0%	0,0,0,0,0,0,0,0,0,1	0%	'+380	0
Andrew Cogliano	COL	-140	H	g	0.5	0.14	0.13 - 0.12	0.14 - 0.14	14%	0%	0%	0,0,0,0,0,0,0,0,0,0	7%	'+425	0
Alexei Toropchenko	STL	'+125	A	g	0.5	0.13	0.15 - 0.08	0.1 - 0.16	13%	20%	60%	1,1,0,0,1,0,0,0,0,0	5%	'+330	0
Emil Bemstrom	CBJ	'+190	H	g	0.5	0.13	0.1 - 0.1	0.16 - 0.09	13%	13%	20%	0,0,0,0,1,0,0,0,0,0	15%	'+350	0
Jordan Gross	NSH	-145	H	g	0.5	0.2	0.62 - 0.0	0.22 - 0.17	13%	13%	0%	0,0,0,0,0,1,0,0,0,0	0%	'+600	0
Colin White	FLA	-225	A	g	0.5	0.13	0.08 - 0.13	0.2 - 0.06	13%	7%	0%	0,0,0,0,0,0,0,0,1,0	12%	'+370	0
Justin Faulk	STL	'+125	A	g	0.5	0.13	0.14 - 0.12	0.16 - 0.11	12%	13%	40%	0,1,1,0,0,0,0,0,0,0	19%	'+550	0
Eric Robinson	CBJ	'+190	H	g	0.5	0.15	0.37 - 0.02	0.18 - 0.12	12%	20%	40%	0,0,0,1,1,0,0,0,0,0	13%	'+450	0
Lane Pederson	CBJ	'+190	H	g	0.5	0.12	0.0 - 0.15	0.17 - 0.0	12%	13%	20%	0,0,1,0,0,0,0,0,0,0	0%	'+450	0
Radek Faksa	DAL	'+120	A	g	0.5	0.15	0.2 - 0.07	0.13 - 0.17	12%	20%	20%	0,0,0,0,1,0,0,0,0,2	8%	'+700	0
Mark Jankowski	NSH	-145	H	g	0.5	0.12	0.12 - 0.08	0.12 - 0.12	12%	0%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+450	0
Mikael Granlund	PIT	'+115	H	g	0.5	0.14	0.29 - 0.0	0.11 - 0.16	12%	7%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+330	0
Ryan Poehling	PIT	'+115	H	g	0.5	0.13	0.2 - 0.04	0.12 - 0.14	11%	13%	20%	0,0,1,0,0,0,0,0,0,0	14%	'+550	0
Josh Archibald	PIT	'+115	H	g	0.5	0.11	0.05 - 0.13	0.13 - 0.08	11%	13%	20%	0,1,0,0,0,0,0,0,0,0	0%	'+700	0
Liam Foudy	CBJ	'+190	H	g	0.5	0.11	0.13 - 0.08	0.16 - 0.04	11%	27%	20%	0,0,0,1,0,1,0,0,1,0	0%	'+450	0
Nick Blankenburg	CBJ	'+190	H	g	0.5	0.11	0.14 - 0.09	0.05 - 0.18	11%	7%	20%	0,0,0,0,1,0,0,0,0,0	14%	'+550	0
Torey Krug	STL	'+125	A	g	0.5	0.11	0.18 - 0.03	0.03 - 0.21	11%	7%	0%	0,0,0,0,0,0,0,0,0,0	15%	'+600	0
Nikita Alexandrov	STL	'+125	A	g	0.5	0.11	0.07 - 0.13	0.12 - 0.09	11%	7%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+550	0
Ty Smith	PIT	'+115	H	g	0.5	0.11	0.0 - 0.14	0.2 - 0.0	11%	11%	0%	0,0,0,0,0,0,1,0,0	8%	'+700	0
Marcus Bjork	CBJ	'+190	H	g	0.5	0.11	0.0 - 0.16	0.15 - 0.07	11%	7%	0%	0,0,0,0,0,0,0,0,1,0	0%	'+600	0
Ty Dellandrea	DAL	'+120	A	g	0.5	0.11	0.13 - 0.08	0.13 - 0.08	11%	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+450	0
Jack Roslovic	CBJ	'+190	H	g	0.5	0.14	0.29 - 0.08	0.11 - 0.18	10%	20%	40%	1,0,0,0,2,0,0,0,0,0	19%	'+290	0
