NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Boone Jenner	CBJ	'+155	H	ast	0.5	0.3	0.4 - 0.24	0.22 - 0.38	27%	0,0,1,0,1,0,0,0,0,0	27%	'+140	-175
Boone Jenner	CBJ	'+155	H	g	0.5	0.39	0.8 - 0.18	0.31 - 0.47	34%	0,0,0,0,1,1,0,1,0,2	37%	'+150	0
Brad Marchand	BOS	-215	A	sog	2.5	2.52	2.18 - 3.23	2.82 - 2.21	43%	2,3,1,3,1,2,0,1,1,6	61%	-110	-120
Brad Marchand	BOS	-215	A	pts	0.5	0.94	1.05 - 0.58	0.88 - 1.0	66%	0,0,0,1,0,1,2,3,0,1	68%	-165	'+135
Brad Marchand	BOS	-215	A	ast	0.5	0.64	0.78 - 0.24	0.56 - 0.73	48%	0,0,0,1,0,1,2,3,0,1	51%	'+120	-150
Brad Marchand	BOS	-215	A	g	0.5	0.3	0.28 - 0.34	0.32 - 0.27	28%	0,0,0,0,0,0,0,0,0,0	35%	'+145	0
Braden Schneider	NYR	-135	A	g	0.5	0.05	0.07 - 0.03	0.08 - 0.03	5%	0,0,0,0,0,0,0,0,0,0	3%	'+800	0
Brady Skjei	CAR	-175	H	sog	2.5	2.28	2.28 - 2.04	2.39 - 2.18	43%	2,1,3,4,3,2,5,4,1,2	35%	'+115	-145
Brady Skjei	CAR	-175	H	g	0.5	0.23	0.25 - 0.18	0.25 - 0.21	23%	1,0,0,1,0,0,0,1,1,1	8%	'+600	0
Brady Tkachuk	OTT	-180	A	sog	4.5	4.26	4.44 - 3.84	4.22 - 4.31	41%	6,8,3,3,7,6,6,8,5,4	28%	'+115	-145
Brady Tkachuk	OTT	-180	A	pts	1.5	1.03	1.44 - 0.57	0.92 - 1.13	28%	0,1,2,1,2,0,1,2,2,1	26%	'+165	-205
Brady Tkachuk	OTT	-180	A	ast	0.5	0.58	0.78 - 0.34	0.54 - 0.62	43%	0,1,1,0,0,0,1,0,1,0	38%	'+105	-135
Brady Tkachuk	OTT	-180	A	g	0.5	0.45	0.66 - 0.24	0.38 - 0.51	38%	0,0,1,1,2,0,0,2,1,1	32%	-105	0
Brandon Carlo	BOS	-215	A	g	0.5	0.04	0.05 - 0.0	0.06 - 0.03	4%	0,0,0,0,0,0,0,0,0,0	6%	'+1000	0
Brandon Saad	STL	'+185	H	pts	0.5	0.52	0.73 - 0.23	0.65 - 0.39	38%	0,2,2,1,0,0,0,0,2,0	49%	'+130	-160
Brandon Saad	STL	'+185	H	ast	0.5	0.23	0.35 - 0.08	0.29 - 0.16	20%	0,1,2,0,0,0,0,0,2,0	28%	'+260	-335
Brandon Saad	STL	'+185	H	g	0.5	0.29	0.39 - 0.15	0.35 - 0.23	28%	0,1,0,1,0,0,0,0,0,0	26%	'+285	0
Brayden Schenn	STL	'+185	H	pts	0.5	0.78	1.17 - 0.44	0.85 - 0.7	58%	0,1,1,1,3,1,1,0,2,1	62%	-115	-115
Brayden Schenn	STL	'+185	H	ast	0.5	0.5	0.7 - 0.33	0.51 - 0.49	43%	0,1,1,1,1,0,1,0,1,1	41%	'+155	-190
Brayden Schenn	STL	'+185	H	g	0.5	0.28	0.47 - 0.12	0.33 - 0.22	24%	0,0,0,0,2,1,0,0,1,0	28%	'+235	0
Brendan Gaunce	CBJ	'+155	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0	17%	'+425	0
Brendan Lemieux	PHI	'+185	A	g	0.5	0.2	0.0 - 0.39	0.5 - 0.12	20%	0,0,0,0,0,1,0,0,1,0	0%	'+650	0
Brendan Smith	NJ	-105	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	9%	'+1500	0
Brenden Dillon	WPG	-115	H	g	0.5	0.03	0.02 - 0.03	0.03 - 0.03	3%	0,0,0,0,0,0,0,0,0,0	4%	'+1200	0
Brent Burns	CAR	-175	H	sog	2.5	3.04	2.89 - 3.21	2.97 - 3.11	56%	8,3,2,2,3,4,2,2,1,2	43%	-145	'+115
Brent Burns	CAR	-175	H	pts	0.5	0.75	0.99 - 0.33	0.86 - 0.63	59%	1,1,0,0,1,0,1,1,0,0	53%	-130	'+100
Brent Burns	CAR	-175	H	ast	0.5	0.56	0.75 - 0.21	0.65 - 0.47	43%	1,0,0,0,0,0,1,1,0,0	44%	'+105	-135
Brent Burns	CAR	-175	H	g	0.5	0.19	0.24 - 0.12	0.22 - 0.16	19%	0,1,0,0,1,0,0,0,0,0	12%	'+425	0
Brett Leason	ANA	'+410	A	g	0.5	0.1	0.23 - 0.02	0.16 - 0.04	10%	0,0,0,1,0,0,0,0,0,0	10%	'+900	0
Brett Pesce	CAR	-175	H	g	0.5	0.05	0.08 - 0.0	0.08 - 0.03	4%	0,0,0,0,0,0,0,0,0,0	10%	'+650	0
Brian Dumoulin	PIT	-215	H	g	0.5	0.01	0.02 - 0.0	0.0 - 0.03	1%	0,0,0,0,0,0,0,0,0,0	4%	'+1000	0
Brock Boeser	VAN	'+100	H	sog	2.5	2.19	2.38 - 2.0	2.08 - 2.32	40%	1,3,3,3,3,4,3,3,1,0	56%	'+115	-145
Brock Boeser	VAN	'+100	H	pts	0.5	0.78	1.11 - 0.51	0.78 - 0.77	57%	0,3,2,1,0,0,0,1,0,3	47%	-145	'+115
Brock Boeser	VAN	'+100	H	ast	0.5	0.54	0.69 - 0.41	0.56 - 0.52	42%	0,2,1,0,0,0,0,0,0,3	27%	'+130	-160
Brock Boeser	VAN	'+100	H	g	0.5	0.24	0.42 - 0.1	0.22 - 0.26	22%	0,1,1,1,0,0,0,1,0,0	30%	'+185	0
Brock Nelson	NYI	'+150	A	sog	1.5	2.75	3.13 - 2.22	2.56 - 2.95	71%	1,1,2,0,6,0,3,6,3,1	68%	-190	'+155
Brock Nelson	NYI	'+150	A	pts	0.5	0.9	1.2 - 0.55	0.97 - 0.82	68%	0,1,1,0,2,0,0,2,0,0	55%	-115	-115
Brock Nelson	NYI	'+150	A	ast	0.5	0.48	0.6 - 0.34	0.44 - 0.53	44%	0,1,1,0,0,0,0,0,0,0	26%	'+180	-220
Brock Nelson	NYI	'+150	A	g	0.5	0.42	0.61 - 0.21	0.54 - 0.29	32%	0,0,0,0,2,0,0,2,0,0	39%	'+190	0
Bryan Rust	PIT	-215	H	sog	2.5	2.63	2.52 - 2.44	2.21 - 3.05	43%	4,1,3,3,5,3,6,2,1,2	54%	-145	'+115
Bryan Rust	PIT	-215	H	pts	0.5	0.59	0.86 - 0.35	0.45 - 0.73	39%	3,0,1,0,0,2,0,0,0,1	55%	-145	'+115
Bryan Rust	PIT	-215	H	ast	0.5	0.35	0.51 - 0.22	0.26 - 0.43	27%	1,0,1,0,0,1,0,0,0,1	43%	'+145	-180
Bryan Rust	PIT	-215	H	g	0.5	0.24	0.35 - 0.13	0.18 - 0.3	23%	2,0,0,0,0,1,0,0,0,0	28%	'+190	0
Calle Jarnkrok	TOR	-275	H	pts	0.5	0.53	0.68 - 0.28	0.58 - 0.49	44%	0,0,0,1,0,0,2,2,1,1	34%	-105	-125
Calle Jarnkrok	TOR	-275	H	ast	0.5	0.26	0.38 - 0.06	0.21 - 0.31	22%	0,0,0,0,0,0,0,2,1,0	25%	'+210	-265
Calle Jarnkrok	TOR	-275	H	g	0.5	0.26	0.3 - 0.22	0.36 - 0.17	25%	0,0,0,1,0,0,2,0,0,1	14%	'+215	0
Calle Rosen	STL	'+185	H	g	0.5	0.19	0.22 - 0.15	0.1 - 0.27	16%	1,0,0,0,0,0,0,0,0,0	4%	'+600	0
Calvin De Haan	CAR	-175	H	g	0.5	0.02	0.03 - 0.0	0.0 - 0.04	2%	0,0,0,0,0,0,0,0,0,0	6%	'+1400	0
