EV	EV Book	Imp	Game	Player	Prop	FD	DK	MGM	Bet365	Kambi/BR	ESPN
51.9	1200 ESPN	8%	VGK @ MIN	Jack Eichel	fgs	-	-	-	'+1100	-	'+1200
51.9	3800 ESPN	3%	TOR @ OTT	Jake Sanderson	fgs	-	-	-	'+3500	-	'+3800
51.2	1300 DK	7%	WSH @ MTL	Nick Suzuki	fgs	'+1200	'+1300	-	-	-	-
51.2	1300 ESPN	7%	VGK @ MIN	Matt Boldy	fgs	-	-	-	'+1200	-	'+1300
51.2	2700 ESPN	4%	VGK @ MIN	Marcus Johansson	fgs	-	-	-	'+2500	-	'+2700
51.2	1300 ESPN	7%	TOR @ OTT	John Tavares	fgs	-	-	-	'+1200	-	'+1300
51.1	7000 DK	1%	LA @ EDM	Vladislav Gavrikov	fgs	'+6500	'+7000	-	'+6500	-	-
51.1	7000 DK	1%	LA @ EDM	Jacob Moverare	fgs	-	'+7000	-	'+6500	-	-
49.5	6000 DK	2%	CAR @ NJ	Simon Nemec	fgs	'+5500	'+6000	-	'+6000	-	-
49.4	1700 ESPN	6%	WPG @ STL	Robert Thomas	fgs	-	-	-	'+1600	-	'+1700
49.4	1700 ESPN	6%	WPG @ STL	Cole Perfetti	fgs	-	-	-	'+1600	-	'+1700
49.4	1700 ESPN	6%	VGK @ MIN	Mark Stone	fgs	-	-	-	'+1600	-	'+1700
49.4	1700 ESPN	6%	VGK @ MIN	Ivan Barbashev	fgs	-	-	-	'+1600	-	'+1700
49.4	1700 ESPN	6%	TOR @ OTT	Matthew Knies	fgs	-	-	-	'+1600	-	'+1700
49.1	3000 DK	3%	WSH @ MTL	Ryan Leonard	fgs	'+2600	'+3000	-	'+3300	-	-
49.1	850 ESPN	11%	VGK @ MIN	Kirill Kaprizov	fgs	-	-	-	'+800	-	'+850
48.8	900 DK	10%	WSH @ MTL	Alex Ovechkin	fgs	'+850	'+900	-	-	-	-
48.8	1900 ESPN	5%	WPG @ STL	Alex Iafallo	fgs	-	-	-	'+1800	-	'+1900
48.8	1900 ESPN	5%	VGK @ MIN	Mats Zuccarello	fgs	-	-	-	'+1800	-	'+1900
48.3	2100 ESPN	5%	WPG @ STL	Jake Neighbours	fgs	-	-	-	'+2000	-	'+2100
48.2	2200 DK	4%	LA @ EDM	Ryan Nugent Hopkins	fgs	'+2100	'+2200	-	'+2200	-	-
47.9	2300 ESPN	4%	TOR @ OTT	Bobby Mcmann	fgs	-	-	-	'+2200	-	'+2300
47.8	3000 DK	3%	WSH @ MTL	Josh Anderson	fgs	'+2800	'+3000	-	'+3300	-	-
47.0	6000 DK	2%	CAR @ NJ	Brett Pesce	fgs	'+5500	'+6000	-	'+6500	-	-
46.5	1300 DK	7%	CAR @ NJ	Timo Meier	fgs	'+1200	'+1300	-	'+1400	-	-
45.7	5500 FD	2%	LA @ EDM	Samuel Helenius	fgs	'+5500	'+5500	-	'+6500	-	-
45.1	6600 ESPN	1%	WPG @ STL	Neal Pionk	fgs	-	-	-	'+6500	-	'+6600
43.5	4000 ESPN	2%	WPG @ STL	Radek Faksa	fgs	-	-	-	'+4000	-	'+4000
43.5	1000 ESPN	9%	WPG @ STL	Mark Scheifele	fgs	-	-	-	'+1000	-	'+1000
43.5	10000 ESPN	1%	WPG @ STL	Luke Schenn	fgs	-	-	-	'+10000	-	'+10000
43.5	10000 ESPN	1%	WPG @ STL	Logan Stanley	fgs	-	-	-	'+10000	-	'+10000
43.5	900 ESPN	10%	WPG @ STL	Kyle Connor	fgs	-	-	-	'+900	-	'+900
43.5	4000 ESPN	2%	WPG @ STL	Justin Faulk	fgs	-	-	-	'+4000	-	'+4000
43.5	4000 ESPN	2%	WPG @ STL	Dylan Samberg	fgs	-	-	-	'+4000	-	'+4000
43.5	3300 ESPN	3%	WPG @ STL	Adam Lowry	fgs	-	-	-	'+3300	-	'+3300
43.5	2000 ESPN	5%	VGK @ MIN	William Karlsson	fgs	-	-	-	'+2000	-	'+2000
43.5	1400 ESPN	7%	VGK @ MIN	Pavel Dorofeyev	fgs	-	-	-	'+1400	-	'+1400
43.5	4000 ESPN	2%	VGK @ MIN	Noah Hanifin	fgs	-	-	-	'+4000	-	'+4000
43.5	2000 ESPN	5%	VGK @ MIN	Brandon Saad	fgs	-	-	-	'+2000	-	'+2000
43.5	1400 ESPN	7%	TOR @ OTT	Tim Stutzle	fgs	-	-	-	'+1400	-	'+1400
43.5	3300 ESPN	3%	TOR @ OTT	Pontus Holmberg	fgs	-	-	-	'+3300	-	'+3300
43.5	5000 ESPN	2%	TOR @ OTT	Oliver Ekman Larsson	fgs	-	-	-	'+5000	-	'+5000
43.5	5000 ESPN	2%	TOR @ OTT	Morgan Rielly	fgs	-	-	-	'+5000	-	'+5000
43.5	1400 ESPN	7%	TOR @ OTT	Mitch Marner	fgs	-	-	-	'+1400	-	'+1400
43.5	1100 ESPN	8%	TOR @ OTT	Brady Tkachuk	fgs	-	-	-	'+1100	-	'+1100
43.5	900 ESPN	10%	TOR @ OTT	Auston Matthews	fgs	-	-	-	'+900	-	'+900
43.5	1000 FD	9%	LA @ EDM	Connor Mcdavid	fgs	'+1000	'+1000	-	'+1000	-	-
38.8	1900 ESPN	5%	WPG @ STL	Brayden Schenn	fgs	-	-	-	'+2000	-	'+1900
38.0	3300 ESPN	3%	VGK @ MIN	Shea Theodore	fgs	-	-	-	'+3500	-	'+3300
38.0	3300 ESPN	3%	VGK @ MIN	Ryan Hartman	fgs	-	-	-	'+3500	-	'+3300
38.0	3300 ESPN	3%	VGK @ MIN	Nicolas Roy	fgs	-	-	-	'+3500	-	'+3300
38.0	3300 ESPN	3%	VGK @ MIN	Marcus Foligno	fgs	-	-	-	'+3500	-	'+3300
38.0	3300 ESPN	3%	VGK @ MIN	Frederick Gaudreau	fgs	-	-	-	'+3500	-	'+3300
38.0	3300 ESPN	3%	VGK @ MIN	Brett Howden	fgs	-	-	-	'+3500	-	'+3300
38.0	3300 ESPN	3%	TOR @ OTT	Thomas Chabot	fgs	-	-	-	'+3500	-	'+3300
36.9	1300 ESPN	7%	VGK @ MIN	Joel Eriksson Ek	fgs	-	-	-	'+1400	-	'+1300
36.9	1300 ESPN	7%	TOR @ OTT	Drake Batherson	fgs	-	-	-	'+1400	-	'+1300
35.8	1100 ESPN	8%	WPG @ STL	Jordan Kyrou	fgs	-	-	-	'+1200	-	'+1100
35.3	6000 FD	2%	LA @ EDM	John Klingberg	fgs	'+6000	'+6000	-	'+8000	-	-
31.8	1400 ESPN	7%	WPG @ STL	Pavel Buchnevich	fgs	-	-	-	'+1600	-	'+1400
30.6	2600 ESPN	4%	VGK @ MIN	Reilly Smith	fgs	-	-	-	'+3000	-	'+2600
30.5	1900 ESPN	5%	WPG @ STL	Jimmy Snuggerud	fgs	-	-	-	'+2200	-	'+1900
29.3	1700 ESPN	6%	WPG @ STL	Zachary Bolduc	fgs	-	-	-	'+2000	-	'+1700
26.9	2900 ESPN	3%	WPG @ STL	Oskar Sundqvist	fgs	-	-	-	'+3500	-	'+2900
25.9	2700 ESPN	4%	WPG @ STL	Josh Morrissey	fgs	-	-	-	'+3300	-	'+2700
22.5	1400 ESPN	7%	VGK @ MIN	Tomas Hertl	fgs	-	-	-	'+1800	-	'+1400
21.8	1700 ESPN	6%	TOR @ OTT	Dylan Cozens	fgs	-	-	-	'+2200	-	'+1700
