NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Jauan Jennings	-200	H	SF	DAL	15th	rec	1.5	2.2	2.15 - 2.25	2.0 - 2.3	71%	67%	2,1,2,2,3,1,2,6,0,4,2,2,2,2,1,1,4	54%	-120	-110
Dak Prescott	'+170	A	DAL	SF	8th	pass_td	1.5	2.1	2.22 - 1.75	2.5 - 1.71	69%	67%	4,1,2,3,3,1,3,2,2,3,2,1,0	69%	-125	-105
Tredavious White	-240	H	BUF	CIN	19th	tackles_combined	3.5	3.7	3.67 - 0	4.5 - 3.25	67%	67%	2,4,5,3,4,4	45%	-120	-110
Talanoa Hufanga	-200	H	SF	DAL	25th	tackles_combined	4.5	5.7	5.5 - 6.25	6.75 - 4.8	67%	67%	5,4,9,8,5,5,1,9,6,2,8,4,6,5,4,4,6,11	17%	-150	'+120
Jauan Jennings	-200	H	SF	DAL	8th	rec_yds	18.5	26.9	26.77 - 27.25	29.57 - 25.0	65%	67%	41,10,46,21,31,5,34,49,0,40,24,18,45,22,5,4,62	46%	-115	-115
Hayden Hurst	'+200	A	CIN	BUF	21st	rec	3.5	4.0	3.6 - 5.0	3.86 - 4.14	64%	67%	4,4,2,6,2,5,4,6,3,6,3,1,5,5	25%	-120	-110
Kyle Juszczyk	-200	H	SF	DAL	8th	rec_yds	4.5	14.7	11.5 - 22.75	14.0 - 15.25	64%	67%	6,26,0,7,12,2,0,34,33,27,35,24,0,0	100%	-110	-120
Dak Prescott	'+170	A	DAL	SF	20th	pass_yds	252.5	243.5	264.67 - 195.75	252.0 - 236.14	62%	67%	305,128,282,347,256,284,170,261,276,265,250,207,134	44%	-130	'+100
George Kittle	-200	H	SF	DAL	15th	rec	3.5	3.9	3.38 - 6.0	4.57 - 3.33	62%	67%	2,4,4,6,4,4,2,3,4,1,3,6,8,5,2,4	79%	-135	'+105
Brandon Aiyuk	-200	H	SF	DAL	15th	rec	3.5	4.5	4.36 - 5.0	4.38 - 4.6	61%	67%	3,4,9,5,2,2,5,5,2,6,6,7,8,3,4,3,5,2	50%	-145	'+115
Joe Mixon	'+200	A	CIN	BUF	13th	rec_yds	25.5	30.5	29.73 - 32.75	27.88 - 33.57	60%	67%	17,41,43,33,10,42,58,32,33,23,10,13,14,26,63	31%	-125	-105
Cam Taylor Britt	'+200	A	CIN	BUF	8th	tackles_combined	4.5	6.0	6.25 - 5.0	8.33 - 2.5	60%	67%	8,12,2,5,3	0%	'+110	-140
Michael Gallup	'+170	A	DAL	SF	23rd	rec	2.5	2.9	3.27 - 2.0	2.88 - 3.0	60%	67%	5,1,3,4,1,2,4,5,3,4,4,0,2,4,2	89%	-160	'+130
Devin Singletary	-240	H	BUF	CIN	11th	rush_att	9.5	11.0	11.21 - 10.0	11.5 - 10.56	59%	67%	10,7,12,13,8,13,14,18,13,8,14,17,6,11,9,6,8	59%	'+100	-130
Stefon Diggs	-240	H	BUF	CIN	23rd	rec_yds	79.5	90.8	89.14 - 98.33	86.75 - 94.33	59%	67%	114,104,26,60,37,92,77,48,128,93,108,148,102,62,74,148,122	35%	-130	'+100
Stefon Diggs	-240	H	BUF	CIN	11th	rec	6.5	6.8	6.5 - 8.0	6.38 - 7.11	59%	67%	7,7,2,5,3,7,8,4,12,5,6,10,8,4,7,12,8	47%	-120	-110
Joe Mixon	'+200	A	CIN	BUF	21st	rec	3.5	4.2	3.91 - 5.0	4.38 - 4.0	53%	67%	3,5,7,5,2,3,4,7,3,4,3,4,3,3,7	44%	-140	'+110
Eli Apple	'+200	A	CIN	BUF	8th	tackles_combined	3.5	3.7	3.83 - 3.0	3.75 - 3.57	53%	67%	6,6,0,7,4,3,4,4,2,6,3,2,2,4,2	25%	-145	'+115
Michael Gallup	'+170	A	DAL	SF	20th	rec_yds	35.5	31.3	36.82 - 16.25	29.38 - 33.57	53%	67%	46,10,39,36,2,40,23,63,41,35,49,0,18,44,24	89%	-135	'+105
Dalton Schultz	'+170	A	DAL	SF	20th	rec_yds	41.5	42.0	42.33 - 41.0	39.29 - 44.11	50%	67%	95,33,56,43,15,87,33,31,22,54,74,49,0,0,18,62	71%	-120	-110
Micah Parsons	'+170	A	DAL	SF		sacks	0.25	0.8	0.85 - 0.7	0.72 - 0.89	50%	67%	1,0,0,0,1,0,0,2,2,0,0,2,0,2,0,0,2,2	62%	-185	'+150
Leighton Vander Esch	'+170	A	DAL	SF	23rd	tackles_combined	7.5	7.1	6.91 - 7.67	5.67 - 8.12	50%	67%	9,14,1,8,3,7,8,10,7,5,8,3,7,9	12%	-150	'+110
Ed Oliver	-240	H	BUF	CIN	19th	tackles_combined	2.5	2.8	2.82 - 3.0	3.0 - 2.71	46%	67%	3,1,4,2,4,1,6,5,2,4,2,1,2	44%	-140	'+110
Dak Prescott	'+170	A	DAL	SF	23rd	pass_cmp	22.5	22.0	23.11 - 19.5	23.33 - 20.86	46%	67%	25,14,29,27,23,24,20,21,22,27,21,19,14	62%	'+100	-130
Daron Bland	'+170	A	DAL	SF	23rd	tackles_combined	5.5	4.7	4.7 - 4.67	5.0 - 4.43	46%	67%	7,2,7,5,6,6,8,5,2,6,3,1,3	0%	'+140	-175
Christian Mccaffrey	-200	H	SF	DAL	16th	rush_yds	68.5	69.9	72.14 - 62.0	78.25 - 63.2	44%	67%	119,45,121,46,108,119,66,32,39,38,94,38,69,54,27,108,102,33	43%	-115	-115
Dalton Schultz	'+170	A	DAL	SF	23rd	rec	4.5	4.0	3.75 - 4.75	4.14 - 3.89	44%	67%	7,4,7,3,2,6,2,4,3,6,6,5,0,0,2,7	59%	-105	-125
Fred Warner	-200	H	SF	DAL	25th	tackles_combined	7.5	7.6	7.64 - 7.25	8.75 - 6.6	44%	67%	6,8,12,12,8,7,2,6,6,7,12,6,10,9,9,7,3,6	69%	-115	-115
