EV	Player	Prop	Team	FD	DK	Bet365	MGM	Kambi	CZ	BR
3.6	shaadie clayton johnson	attd	mississippi @ tulane	230	245	-	250	-	-	-
3.6	boise state defense	attd	ucf @ boise state	470	450	-	-	-	-	-
3.5	zavion thomas	attd	arizona @ mississippi state	-170	-	-	-175	-	-	-
3.4	terrell timmons	attd	notre dame @ nc state	440	425	-	450	-	-	-
3.4	michael trigg	attd	mississippi @ tulane	270	255	-	250	-	-	-
3.4	kam brown	attd	ucla @ san diego state	190	200	-	190	-	-	-
3.4	dayton wade	attd	mississippi @ tulane	135	140	-	130	-	-	-
3.4	billy bowens	attd	ucf @ boise state	190	200	-	-	-	-	-
3.3	caleb williams	attd	stanford @ usc	-110	-120	-	-125	-	-	-
3.2	ulysses bentley iv	attd	mississippi @ tulane	-	220	-	210	-	-	-
3.1	michael pratt	attd	mississippi @ tulane	135	130	-	125	-	-	-
3.1	loic fouonji	attd	oregon @ texas tech	-	320	-	333	-	-	-
3.1	jordan watkins	attd	mississippi @ tulane	-105	-110	-	-115	-	-	-
3.1	duce robinson	attd	stanford @ usc	-	230	-	220	-	-	-
2.9	dalton stroman	attd	appalachian state @ north carolina	410	425	-	-	-	-	-
2.8	omarion hampton	attd	appalachian state @ north carolina	-270	-245	-	-	-	-	-
2.7	tre harris	attd	mississippi @ tulane	-175	-170	-	-175	-	-	-
2.7	taylor morin	attd	vanderbilt @ wake forest	-145	-	-	-145	-	-	-
2.7	malik benson	attd	texas @ alabama	-	265	-	275	-	-	-
2.7	braelon allen	attd	wisconsin @ washington state	-420	-380	-	-375	-	-	-
2.6	kris hutson	attd	oregon @ texas tech	220	205	-	210	-	-	-
2.6	jimmy horn	attd	nebraska @ colorado	-125	-120	-	-130	-	-	-
2.6	cooper mathers	attd	wisconsin @ washington state	-	280	-	290	-	-	-
2.5	skyler bell	attd	wisconsin @ washington state	-	300	-	310	-	-	-
2.5	keontez lewis	attd	wisconsin @ washington state	-	300	-	310	-	-	-
2.5	jaquinden jackson	attd	utah @ baylor	-250	-230	-	-250	-	-	-
2.5	cameron ward	attd	wisconsin @ washington state	180	190	-	190	-	-	-
2.5	cam davis	attd	ucla @ san diego state	300	310	-	300	-	-	-
2.4	will rogers	attd	arizona @ mississippi state	320	-	-	320	-	-	-
