Player	ECR / ADP	PASS_YD	PASS_TD	INT	RUSH_ATT	RUSH_YD	RUSH_TD	REC	REC_YD	REC_TD	Points
Tyreek Hill	1.03 / 1.02	-	-	-	-	-	-	100.9	1399.6	9.4	196.36
Drake Maye	-	2971.6	15.5	12.1	-	259.8	2.0	-	-	-	194.64
Ceedee Lamb	1.02 / 1.03	-	-	-	-	-	-	107.2	1345.2	9.4	190.92
Jahmyr Gibbs	1.12 / 2.01	-	-	-	202.5	883.6	8.4	54.6	388.9	2.2	190.85
Gardner Minshew	-	2873.3	17.7	9.9	-	123.4	1.8	-	-	-	189.07
Derrick Henry	2.05 / 2.06	-	-	-	269.2	993.8	10.6	24.9	199.1	0.9	188.29
Kyren Williams	2.09 / 2.04	-	-	-	245.4	973.5	9.0	34.4	251.4	1.9	187.89
Travis Etienne	2.07 / 2.05	-	-	-	250.0	934.7	7.3	46.1	358.2	1.2	180.29
Jamarr Chase	1.05 / 1.07	-	-	-	-	-	-	99.7	1272.9	8.7	179.49
Josh Jacobs	4.02 / 2.12	-	-	-	255.5	951.3	7.7	39.7	301.9	1.1	178.12
Justin Jefferson	1.08 / 1.06	-	-	-	-	-	-	95.7	1321.5	7.5	177.15
Amon Ra St Brown	1.07 / 1.08	-	-	-	-	-	-	106.6	1264.9	8.3	176.29
Aj Brown	1.09 / 1.09	-	-	-	-	-	-	88.4	1270.9	8.2	176.29
James Cook	4.07 / 3.12	-	-	-	231.7	930.9	4.2	45.0	382.4	2.8	173.33
Devon Achane	3.05 / 2.09	-	-	-	175.0	780.0	7.0	45.4	348.4	2.9	172.24
Isiah Pacheco	2.12 / 2.08	-	-	-	238.6	931.3	6.9	38.8	258.4	1.9	171.77
Joe Mixon	4.10 / 4.06	-	-	-	244.8	852.1	7.0	40.1	304.4	2.2	170.85
Rachaad White	4.09 / 3.11	-	-	-	235.2	823.8	5.6	52.6	398.2	2.4	170.2
Kenneth Walker	4.08 / 4.08	-	-	-	240.9	916.5	8.2	29.1	224.3	1.0	169.28
David Montgomery	6.01 / 5.12	-	-	-	205.1	833.9	9.6	22.4	167.6	0.8	162.55
Garrett Wilson	1.10 / 1.12	-	-	-	-	-	-	90.8	1138.3	7.7	160.03
Mike Evans	2.10 / 3.07	-	-	-	-	-	-	69.9	1057.1	8.5	156.71
Puka Nacua	2.02 / 2.02	-	-	-	-	-	-	87.8	1162.8	6.6	155.88
Alvin Kamara	5.02 / 4.09	-	-	-	204.7	668.6	4.6	65.8	446.4	2.2	152.3
Aaron Jones	6.03 / 5.05	-	-	-	189.1	749.5	4.9	42.8	313.6	1.9	147.11
James Conner	5.12 / 5.07	-	-	-	201.6	782.0	6.3	32.6	222.3	1.4	146.63
Davante Adams	2.06 / 2.07	-	-	-	-	-	-	86.8	1051.0	6.9	146.5
Najee Harris	6.10 / 6.07	-	-	-	237.2	856.4	5.8	28.6	180.7	1.2	145.71
Drake London	2.04 / 2.10	-	-	-	-	-	-	82.8	1035.4	6.6	143.14
Chris Olave	2.08 / 3.01	-	-	-	-	-	-	84.0	1082.8	5.8	143.08
Raheem Mostert	7.01 / 6.12	-	-	-	168.7	692.7	8.0	25.4	179.2	1.3	142.99
Marvin Harrison	2.03 / 2.03	-	-	-	-	-	-	83.1	1057.7	6.1	142.37
Rhamondre Stevenson	6.04 / 5.08	-	-	-	213.4	797.7	4.7	41.8	287.0	0.8	141.47
Dk Metcalf	3.09 / 4.04	-	-	-	-	-	-	69.8	995.6	6.9	140.96
Brandon Aiyuk	3.04 / 3.10	-	-	-	-	-	-	75.8	1016.0	6.4	140.0
Devonta Smith	4.03 / 4.10	-	-	-	-	-	-	77.6	1015.7	6.4	139.97
Dandre Swift	7.02 / 6.02	-	-	-	178.2	730.5	5.3	36.5	251.9	1.6	139.64
Zamir White	7.05 / 6.10	-	-	-	235.2	823.8	4.8	32.9	230.0	0.8	138.98
Nico Collins	3.02 / 3.05	-	-	-	-	-	-	72.7	1029.3	6.0	138.93
Zack Moss	9.03 / 8.03	-	-	-	170.3	723.4	6.2	29.5	205.0	1.4	138.44
Dj Moore	3.12 / 4.05	-	-	-	-	-	-	71.7	987.9	6.4	137.19
Rashee Rice	5.06 / 7.01	-	-	-	-	-	-	79.5	943.8	7.1	136.98
Brian Robinson	7.11 / 8.06	-	-	-	185.3	725.8	4.9	28.8	241.2	1.8	136.9
Tony Pollard	7.08 / 7.07	-	-	-	197.6	753.5	5.4	34.1	236.6	0.9	136.81
Cooper Kupp	3.07 / 3.09	-	-	-	-	-	-	79.8	959.1	6.6	135.51
Jaylen Waddle	3.03 / 4.03	-	-	-	-	-	-	76.6	1025.3	5.1	133.13
Javonte Williams	7.06 / 7.08	-	-	-	204.2	742.5	4.1	41.2	247.0	1.5	132.55
Michael Pittman	4.04 / 4.01	-	-	-	-	-	-	88.3	994.1	5.4	131.81
Jaylen Warren	8.06 / 8.04	-	-	-	142.4	656.1	3.9	47.5	323.8	1.7	131.59
Amari Cooper	4.06 / 5.06	-	-	-	-	-	-	68.0	972.4	5.6	130.84
Sam Laporta	3.08 / 3.04	-	-	-	-	-	-	82.7	852.8	7.5	130.28
Tee Higgins	5.01 / 5.10	-	-	-	-	-	-	68.3	921.5	6.1	128.75
Stefon Diggs	4.12 / 4.07	-	-	-	-	-	-	76.6	919.3	6.1	128.53
Travis Kelce	3.10 / 3.02	-	-	-	-	-	-	82.0	870.6	6.9	128.46
Deebo Samuel Sr	2.11 / 3.03	-	-	-	-	-	-	66.9	925.4	5.9	127.94
Chase Brown	9.06 / 9.11	-	-	-	142.7	618.5	4.0	37.3	304.5	1.9	127.7
Devin Singletary	8.02 / 7.11	-	-	-	196.3	742.9	4.4	33.0	212.8	0.7	126.17
Zay Flowers	5.07 / 6.01	-	-	-	-	-	-	73.3	916.8	5.6	125.28
George Pickens	5.04 / 5.11	-	-	-	-	-	-	70.7	952.7	4.9	124.67
Deandre Hopkins	8.04 / 9.05	-	-	-	-	-	-	64.7	900.8	5.7	124.28
Austin Ekeler	10.03 / 8.09	-	-	-	126.5	479.7	4.2	46.3	383.7	2.0	123.54
Tyjae Spears	8.12 / 9.04	-	-	-	141.7	585.8	3.6	43.3	335.9	1.6	123.37
Jerome Ford	10.01 / 10.02	-	-	-	162.4	642.8	3.8	34.0	241.9	1.9	122.67
Malik Nabers	4.05 / 4.12	-	-	-	-	-	-	75.4	913.2	5.1	121.92
Terry Mclaurin	5.09 / 6.08	-	-	-	-	-	-	72.8	941.1	4.5	121.11
Nick Chubb	11.03 / 8.08	-	-	-	150.7	730.7	5.0	17.5	138.2	0.6	120.49
Calvin Ridley	6.09 / 7.06	-	-	-	-	-	-	71.2	893.7	5.1	119.97
Jordan Addison	9.12 / 9.07	-	-	-	-	-	-	64.5	829.3	5.9	118.33
Christian Kirk	6.02 / 6.11	-	-	-	-	-	-	77.2	904.4	4.6	118.04
Mark Andrews	4.11 / 5.02	-	-	-	-	-	-	67.8	778.2	6.7	118.02
Tank Dell	5.11 / 6.04	-	-	-	-	-	-	70.0	851.3	5.4	117.53
Chris Godwin	6.07 / 7.05	-	-	-	-	-	-	80.3	898.7	4.6	117.47
Courtland Sutton	9.02 / 10.06	-	-	-	-	-	-	62.3	825.2	5.8	117.32
Ezekiel Elliott	10.10 / 10.01	-	-	-	170.2	563.1	5.5	29.2	193.9	1.3	116.5
Jonathon Brooks	9.11 / 8.12	-	-	-	152.2	664.4	4.4	23.1	177.9	0.9	116.03
Gus Edwards	10.04 / 10.05	-	-	-	183.9	677.4	5.3	15.0	131.2	0.4	115.06
Diontae Johnson	6.11 / 7.12	-	-	-	-	-	-	70.8	831.5	4.9	112.55
George Kittle	7.07 / 5.09	-	-	-	-	-	-	61.5	781.6	5.6	111.76
Dalton Kincaid	6.05 / 5.04	-	-	-	-	-	-	79.1	778.6	5.5	110.86
Marquise Brown	9.08 / 9.02	-	-	-	-	-	-	55.6	740.9	6.0	110.09
Chuba Hubbard	11.06 / 12.06	-	-	-	156.3	636.2	4.0	27.7	192.5	0.5	109.87
Keenan Allen	7.04 / 7.04	-	-	-	-	-	-	73.1	816.3	4.7	109.83
Christian Watson	8.05 / 9.03	-	-	-	-	-	-	51.1	729.7	6.1	109.57
Trey Mcbride	5.03 / 5.01	-	-	-	-	-	-	82.0	796.5	4.7	107.85
Jk Dobbins	12.08 / 11.09	-	-	-	133.6	570.3	3.7	24.9	188.4	1.5	107.07
Jayden Reed	7.10 / 7.10	-	-	-	-	-	-	63.3	762.1	5.0	106.21
Kyle Pitts	7.03 / 6.06	-	-	-	-	-	-	65.3	786.1	4.6	106.21
Xavier Worthy	8.09 / 8.02	-	-	-	-	-	-	55.3	768.0	4.9	106.2
Gabe Davis	13.04 / 14.09	-	-	-	-	-	-	50.0	720.0	5.6	105.6
Jaxon Smith Njigba	8.03 / 9.06	-	-	-	-	-	-	68.0	775.9	4.6	105.19
Ty Chandler	12.11 / 13.02	-	-	-	146.6	598.6	4.3	21.1	154.9	0.6	104.75
Tyler Lockett	10.09 / 12.03	-	-	-	-	-	-	65.9	756.3	4.6	103.23
Ladd Mcconkey	9.10 / 9.10	-	-	-	-	-	-	61.9	750.0	4.7	103.2
Brian Thomas	9.07 / 10.04	-	-	-	-	-	-	63.3	756.9	4.4	102.09
Khalil Shakir	11.09 / 11.07	-	-	-	-	-	-	61.4	750.6	4.5	102.06
Tyler Allgeier	13.01 / 14.03	-	-	-	134.4	549.3	3.8	21.1	167.6	1.2	101.69
Blake Corum	11.05 / 10.11	-	-	-	138.3	544.5	4.6	19.5	152.3	0.7	101.48
Rico Dowdle	12.03 / 11.11	-	-	-	140.0	545.2	3.6	23.6	181.1	1.2	101.43
Mike Williams	12.04 / 14.04	-	-	-	-	-	-	56.1	709.5	5.0	100.95
David Njoku	8.11 / 8.01	-	-	-	-	-	-	66.9	720.8	4.8	100.88
Joshua Palmer	11.04 / 13.03	-	-	-	-	-	-	58.4	712.7	4.7	99.47
