Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
6.04 ADP	rush_yd	751.0	o750.5 +110/-130	o675.5 -112/-112	o700.5 -115/-115	o800.5 +100/-130	o750.5 -112/-112	o750.5 110/-135	828.8	-
	rush_td	5.3	o5.5 +120/-150	o5.5 +128/-164	o4.5 -150/120	o5.5 +110/-140	o5.5 108/-134	o5.5 100/-120	5.2	-
	rec	36.5	-	-	-	-	-	-	36.5	-
	rec_yd	251.3	-	-	-	-	-	-	251.3	-
	rec_td	1.6	-	-	-	-	-	-	1.6	-

Raheem Mostert
159.14 FPTS	rush_att	168.6	-	-	-	-	-	-	168.6	-
7.03 ADP	rush_yd	692.6	o675.5 -115/-115	o650.5 -112/-112	o675.5 -115/-115	o675.5 -110/-110	-	o675.5 -125/105	803.1	-
	rush_td	8.2	o7.5 +100/-120	o7.5 +112/-142	o8.5 135/-170	o8.5 +110/-140	-	o8.5 125/-150	8.4	-
	rec	26.4	-	-	-	-	-	-	26.4	-
	rec_yd	184.8	-	-	-	-	-	-	184.8	-
	rec_td	1.5	-	-	-	-	-	-	1.5	-

Zamir White
155.14 FPTS	rush_att	235.1	-	-	-	-	-	-	235.1	-
6.08 ADP	rush_yd	820.2	o800.5 -105/-120	o825.5 -112/-112	o750.5 -115/-115	o825.5 +100/-130	o800.5 100/-124	o750.5 -150/125	988.4	-
	rush_td	4.8	o4.5 -125/+105	o5.5 +142/-182	o4.5 -130/100	o4.5 -115/-105	o4.5 -106/-118	o4.5 -125/105	5.8	-
	rec	33.0	-	-	-	-	-	-	33.0	-
	rec_yd	230.2	-	-	-	-	-	-	230.2	-
	rec_td	0.8	-	-	-	-	-	-	0.8	-

Tony Pollard
152.89 FPTS	rush_att	190.2	-	-	-	-	-	-	190.2	-
7.10 ADP	rush_yd	753.5	o775.5 +125/-155	o700.5 -112/-112	o725.5 -115/-115	o750.5 +100/-130	o725.5 -112/-112	o775.5 130/-155	821.2	-
	rush_td	5.4	o5.5 +100/-120	o5.5 +112/-142	o4.5 -145/115	o5.5 -130/+100	o5.5 100/-124	o5.5 -105/-115	5.6	-
	rec	33.9	-	-	-	-	-	-	33.9	-
	rec_yd	233.9	-	-	-	-	-	-	233.9	-
	rec_td	0.8	-	-	-	-	-	-	0.8	-

Brian Robinson
152.23 FPTS	rush_att	184.6	-	-	-	-	-	-	184.6	-
8.08 ADP	rush_yd	733.4	-	-	o750.5 -115/-115	-	o675.5 -112/-112	-	774.1	-
	rush_td	4.8	-	-	o4.5 -115/-115	-	o4.5 -108/-115	-	5.3	-
	rec	29.2	-	-	-	-	-	-	29.2	-
	rec_yd	246.9	-	-	-	-	-	-	246.9	-
	rec_td	1.8	-	-	-	-	-	-	1.8	-

Javonte Williams
150.39 FPTS	rush_att	197.3	-	-	-	-	-	-	197.3	-
8.10 ADP	rush_yd	731.0	-	-	-	-	o650.5 100/-124	-	811.6	-
	rush_td	4.0	-	-	-	-	o3.5 -106/-117	-	4.6	-
	rec	40.3	-	-	-	-	-	-	40.3	-
	rec_yd	241.4	-	-	-	-	-	-	241.4	-
	rec_td	1.5	-	-	-	-	-	-	1.5	-

Zack Moss
149.9 FPTS	rush_att	168.5	-	-	-	-	-	-	168.5	-
7.05 ADP	rush_yd	712.0	o700.5 -115/-115	o725.5 -112/-112	o700.5 -115/-115	o700.5 -115/-105	o725.5 -124/100	o700.5 -115/-115	730.8	-
	rush_td	6.1	o6.5 +125/-150	o5.5 -112/-112	o6.5 115/-145	o6.5 +110/-140	o5.5 -134/108	o6.5 125/-150	5.8	-
