Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Charlie Kolar	11.7	-	-	-	-	-	-	11.8	11.5
Justin Watson	11.4	-	-	-	-	-	-	11.4	-
Derius Davis	11.4	-	-	-	-	-	-	11.4	-
Cameron Latu	11.4	-	-	-	-	-	-	11.5	11.3
Josh Whyle	11.1	-	-	-	-	-	-	9.2	13
Teagan Quitoriano	10.8	-	-	-	-	-	-	12.4	9.1
Ko Kieft	10.6	-	-	-	-	-	-	10.6	-
Tre Mckitty	10.6	-	-	-	-	-	-	10.6	-
Geoff Swaim	10.4	-	-	-	-	-	-	20.9	0
Quintin Morris	10.2	-	-	-	-	-	-	5.5	14.8
David Bell	10.1	-	-	-	-	-	-	10.1	-
Cole Beasley	10.1	-	-	-	-	-	-	10.1	-
Davis Allen	10.1	-	-	-	-	-	-	15.7	4.5
Deonte Harty	9.7	-	-	-	-	-	-	9.7	-
Dante Pettis	9.7	-	-	-	-	-	-	6.1	13.3
Taysom Hill	9.7	-	-	-	-	-	-	14.3	5
Payne Durham	9.7	-	-	-	-	-	-	13.9	5.5
Eric Saubert	9.6	-	-	-	-	-	-	13.7	5.4
Zach Gentry	9.4	-	-	-	-	-	-	10.9	7.9
Tre Nixon	9.3	-	-	-	-	-	-	9.3	-
Drew Sample	9.3	-	-	-	-	-	-	8.6	10.1
Tanner Hudson	9.2	-	-	-	-	-	-	8.0	10.5
Penny Hart	8.9	-	-	-	-	-	-	8.9	-
Phillip Dorsett	8.9	-	-	-	-	-	-	8.9	-
Justyn Ross	8.8	-	-	-	-	-	-	8.5	9.1
Zack Kuntz	8.8	-	-	-	-	-	-	7.1	10.4
Stephen Sullivan	8.8	-	-	-	-	-	-	8.8	-
Dee Eskridge	8.7	-	-	-	-	-	-	8.7	-
Britain Covey	8.4	-	-	-	-	-	-	8.4	-
Jimmy Graham	8.2	-	-	-	-	-	-	16.3	0
Dareke Young	8.1	-	-	-	-	-	-	8.1	-
Bryan Edwards	8.0	-	-	-	-	-	-	8.0	-
Equanimeous St Brown	8.0	-	-	-	-	-	-	8.0	-
Trevon Wesco	7.9	-	-	-	-	-	-	7.9	-
Andrew Beck	7.9	-	-	-	-	-	-	7.9	-
Steven Sims	7.7	-	-	-	-	-	-	7.7	-
Will Mallory	7.5	-	-	-	-	-	-	6.6	8.5
Byron Pringle	7.4	-	-	-	-	-	-	7.0	7.8
Justin Shorter	7.3	-	-	-	-	-	-	7.3	-
Blake Bell	7.3	-	-	-	-	-	-	11.4	3.2
Jack Stoll	7.3	-	-	-	-	-	-	10.0	4.7
Armani Rogers	7.3	-	-	-	-	-	-	7.3	-
Jalen Tolbert	7.2	-	-	-	-	-	-	7.2	-
Shi Smith	7.1	-	-	-	-	-	-	7.1	-
Scott Miller	6.8	-	-	-	-	-	-	6.8	-
Jalen Nailor	6.5	-	-	-	-	-	-	10.0	3.1
Luke Farrell	6.5	-	-	-	-	-	-	6.5	-
Joseph Ngata	5.9	-	-	-	-	-	-	5.9	-
Lawrence Cager	5.8	-	-	-	-	-	-	11.5	0
Jesper Horsted	5.8	-	-	-	-	-	-	5.8	-
Tre Tucker	5.7	-	-	-	-	-	-	5.7	-
Johnny Mundt	5.7	-	-	-	-	-	-	6.9	4.5
Anthony Firkser	5.7	-	-	-	-	-	-	5.8	5.6
Chris Manhertz	5.6	-	-	-	-	-	-	5.6	-
