EV	PN EV	EV Book	Imp	Game	Player	Prop	O/U	FD	Bet365	DK	MGM	PN	Kambi	CZ	SZN	LYR	Splits	Opp Rank	LYR Opp Rank
-39.6	-	900 DK	10%	WSH @ PHI		home_total	u 1.5	-	-	-1600/+900	-2000/+800	-	-	-	0%	0%		0	0
-39.6	-	1400 DK	7%	MIN @ CLE	Edouard Julien	sb	o 0.5	-	-	'+1400/-3500	-	-	-	-	0%	0%		21st	2nd
-39.6	-	470 FD	18%	COL @ SF		f5_total	o 7.5	'+470/-850	-	-	-	-	-	-	0%	0%		0	0
-39.7	-	1100 DK	8%	MIN @ CLE		home_total	o 9.5	-	-	'+1100/-2500	'+875/-2500	-	-	-	0%	0%		0	0
-39.7	-	1100 DK	8%	COL @ SF		home_total	o 9.5	-	-	'+1100/-2500	'+875/-2500	-	-	-	0%	0%		0	0
-39.9	-	800 FD	11%	STL @ CIN	Santiago Espinal	rbi	o 1.5	'+800	-	'+650	-	-	-	-	5%	0%	0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1	19th	17th
-39.9	-	800 DK	11%	DET @ LAA	Gleyber Torres	rbi	o 1.5	'+650	-	'+800	-	-	-	-	21%	0%	0,1,0,0,3,0,0,0,0,0,2,0,1,1,0,3,0,3,0	26th	25th
-39.9	-	1000 FD	9%	ARI @ NYM	Tim Tawa	rbi	o 1.5	'+1000	-	'+750	-	-	-	-	6%	0%	1,0,0,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0	2nd	16th
-40.1	-	1100 DK	8%	KC @ TB	Kyle Isbel	sb	o 0.5	'+750	-	'+1100/-2500	-	-	-	-	0%	0%		27th	13th
-40.2	-	650 DK	13%	KC @ TB	Danny Jansen	rbi	o 1.5	'+600	-	'+650	-	-	-	-	5%	0%	0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0	3rd	3rd
-40.2	-	900 FD	10%	DET @ LAA		away_total	o 9.5	'+900	-	'+900/-1600	'+850/-2500	-	-	-	0%	0%		0	0
-40.2	-	650 FD	13%	CHC @ PIT	Bryan Reynolds	rbi	o 1.5	'+650	-	'+600	-	-	-	-	17%	0%	2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,2,0,0,2,1,0,0,1,0,0,0	18th	8th
-40.2	-	1100 DK	8%	ATH @ TEX		away_total	o 9.5	-	-	'+1100/-2500	'+900/-2500	-	-	-	0%	0%		0	0
-40.4	-	700 FD	12%	DET @ LAA	Kyren Paris	tb	o 3.5	'+700	-	'+700	-	-	-	-	0%	0%	0,1,2,1,1,2,0,2,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0	5th	1st
-40.4	-45.7	950 MGM	10%	DET @ LAA	Kyren Paris	hr	o 0.5	'+870	-	'+900	'+950/-2000	911/-2361	-	650	15%	0%	0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	11th	4th
-40.4	-	1000 FD	9%	DET @ LAA	Gleyber Torres	tb	o 4.5	'+1000	-	-	-	-	-	-	0%	0%	2,1,2,1,1,1,1,2,1,0,3,0,1,0,1,2,0,3,1	21st	24th
-40.4	-	700 FD	12%	CHC @ PIT	Kebryan Hayes	rbi	o 1.5	'+700	-	'+650	-	-	-	-	7%	0%	0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,3,0,0,0,0,1,1,0,1,1,0,0,0,1	18th	8th
-40.4	-	700 FD	12%	BOS @ TOR	Alejandro Kirk	tb	o 3.5	'+700	-	'+700	-	-	-	-	0%	0%	2,1,0,2,2,0,1,2,2,1,1,2,0,1,1,2,0,0,0,2,2,0,2	11th	19th
-40.4	-	586 DK	15%	ARI @ NYM		spread	u 5.5	-	-	-1120/+586	-	-	-	-1208/486	0%	0%		0	0
-40.6	-	750 FD	12%	STL @ CIN	Noelvi Marte	tb	o 4.5	'+750	-	-	-	-	-	-	7%	0%	0,1,0,0,1,5,2,1,0,3,1,4,1,0,0	10th	21st
-40.6	-	750 FD	12%	STL @ CIN	Lars Nootbaar	tb	o 4.5	'+750	-	-	-	-	-	-	0%	0%	2,2,0,2,2,2,2,1,0,0,2,1,0,2,2,1,0,0,0,1,0,2,0,2,2,2,2,1	13th	17th
-40.6	-	750 FD	12%	STL @ CIN	Jordan Walker	tb	o 4.5	'+750	-	-	-	-	-	-	0%	0%	1,1,2,2,1,0,3,0,0,1,0,2,2,1,0,1,0,1,0,1,0,0,1,1,1,1	13th	17th
-40.6	-	1000 DK	9%	STL @ CIN	Jordan Walker	sb	o 0.5	'+880	-	'+1000/-2000	-	-	-	-	0%	0%		22nd	17th
-40.6	-	750 FD	12%	MIL @ CHW	Edgar Quero	rbi	o 1.5	'+750	-	'+700	-	-	-	-	8%	0%	0,0,0,2,1,0,1,0,0,1,0,0,0	15th	5th
-40.6	-	750 FD	12%	ATH @ TEX	Tyler Soderstrom	tb	o 4.5	'+750	-	-	-	-	-	-	0%	0%	2,2,1,3,0,1,0,2,2,2,2,1,0,0,1,0,3,1,1,2,0,0,0,1,2,3,1,1,1,1,2	3rd	15th
-40.7	-	650 FD	13%	MIL @ CHW	Sal Frelick	tb	o 3.5	'+650	-	'+650	-	-	-	-	3%	0%	2,1,2,1,0,0,2,1,4,1,1,1,0,1,0,2,0,1,2,1,1,3,1,0,1,1,1,0,1,1,2	17th	26th
-40.7	-	650 FD	13%	COL @ SF	Nick Martini	tb	o 3.5	'+650	-	'+650	-	-	-	-	0%	0%	0,1,3,0,0,1,0,1,1,0,0,1,1,2,1,2,0,0,0,0,0,0,0,1	6th	10th
-40.7	-	1200 DK	8%	ATH @ TEX	Jacob Wilson	hr	o 0.5	'+1000	-	'+1200	'+1150/-3000	-	950/-2500	750	10%	0%	0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	4th	25th
-40.8	-	800 DK	11%	DET @ LAA	Zach Mckinstry	tb	o 3.5	'+700	-	'+800	-	-	-	-	0%	0%	1,0,2,0,1,1,2,1,1,2,2,1,0,0,0,0,0,0,1,1,3,3,1,1,2,1,2,1	21st	24th
-40.8	-	800 FD	11%	CHC @ PIT	Henry Davis	rbi	o 1.5	'+800	-	'+750	-	-	-	-	12%	0%	0,0,0,0,2,0,0,0	18th	8th
-40.8	-	1050 MGM	9%	BOS @ TOR	Bo Bichette	hr	o 0.5	'+900	-	'+1000	'+1050/-2500	-	950/-2500	650	0%	0%	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8th	19th
