Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Connor Joe","PIT",4,11,8,4,2,1,0,1,2,2,3,0,2,0,0,0,0,0,0,0.5,16572
2023,"Yandy Diaz","TBR",6,17,15,2,1,0,0,1,2,3,1,0,2,0,1,0,0,0,0,0.13333333,16578
2023,"Lane Thomas","WSN",10,27,24,10,9,1,0,0,4,5,3,0,4,0,0,0,0,1,1,0.41666667,16939
2023,"Edmundo Sosa","PHI",8,19,18,7,4,2,0,1,1,2,0,0,4,1,0,0,0,0,0,0.38888889,17022
2023,"Alex Verdugo","BOS",10,21,19,5,4,1,0,0,2,2,2,0,4,0,0,0,0,0,0,0.26315789,17027
2023,"Ramon Laureano","OAK",7,16,15,4,2,1,0,1,1,1,1,0,5,0,0,0,0,1,0,0.26666667,17128
2023,"Jorge Mateo","BAL",7,17,15,5,3,1,0,1,4,4,1,0,5,1,0,0,0,3,0,0.33333333,17273
2023,"Michael Chavis","WSN",4,14,13,4,4,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0.30769231,17321
2023,"Rafael Devers","BOS",10,21,19,5,2,1,0,2,6,4,1,0,7,1,0,0,0,0,0,0.26315789,17350
2023,"Jose Siri","TBR",5,13,12,3,2,0,0,1,2,3,0,0,5,0,1,0,0,0,0,0.25,17452
2023,"Taylor Ward","LAA",6,15,13,3,3,0,0,0,1,0,2,0,3,0,0,0,1,0,0,0.23076923,17548
2023,"Myles Straw","CLE",5,12,9,5,4,1,0,0,3,1,3,0,2,0,0,0,0,1,0,0.55555556,17620
2023,"Alex Bregman","HOU",7,13,12,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0.08333333,17678
2023,"Kevin Newman","CIN",7,14,13,4,3,0,0,1,2,4,1,0,2,0,0,0,1,0,0,0.30769231,17696
2023,"Cedric Mullins","BAL",9,18,15,4,2,1,0,1,3,6,2,0,2,0,0,1,0,2,0,0.26666667,17929
2023,"Tyler Stephenson","CIN",9,16,15,6,5,1,0,0,2,1,1,1,3,0,0,0,0,0,0,0.4,17988
2023,"Jake Cronenworth","SDP",10,22,19,3,1,1,0,1,3,1,1,0,5,2,0,0,1,0,0,0.15789474,18036
2023,"Sam Haggerty","SEA",4,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,18054
2023,"Seth Brown","OAK",5,12,10,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,18171
2023,"Brian Anderson","MIL",6,10,9,2,1,0,0,1,2,3,1,0,1,0,0,0,0,0,0,0.22222222,18289
2023,"Kyle Tucker","HOU",9,14,12,3,1,1,0,1,1,2,2,0,4,0,0,0,0,0,0,0.25,18345
2023,"Austin Riley","ATL",9,16,12,6,4,1,0,1,1,4,3,0,5,0,1,0,0,0,0,0.5,18360
2023,"Victor Robles","WSN",9,23,19,10,8,2,0,0,4,3,2,0,1,0,0,2,1,2,0,0.52631579,18363
2023,"Ryan Mountcastle","BAL",8,18,17,7,2,1,0,4,4,12,0,0,3,0,1,0,0,0,0,0.41176471,18373
2023,"Ronald Acuna Jr.","ATL",4,13,11,4,3,1,0,0,3,0,2,0,1,0,0,0,0,2,0,0.36363636,18401
2023,"Trent Grisham","SDP",8,18,15,3,1,0,0,2,2,2,3,0,2,0,0,0,1,0,1,0.2,18564
2023,"Luis Arraez","MIA",6,10,9,4,4,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0.44444444,18568
2023,"Ke'Bryan Hayes","PIT",6,12,12,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0.08333333,18577
2023,"Ramon Urias","BAL",8,17,15,2,1,1,0,0,3,0,1,0,5,1,0,0,0,0,0,0.13333333,18795
2023,"Jose Azocar","SDP",7,15,14,3,2,1,0,0,2,0,0,0,2,0,0,1,0,2,0,0.21428571,18821
2023,"Josh Naylor","CLE",6,12,11,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,18839
2023,"Lourdes Gurriel Jr.","ARI",6,15,14,3,3,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0.21428571,19238
2023,"Pete Alonso","NYM",9,25,22,9,4,1,0,4,8,7,3,0,2,0,0,0,1,0,0,0.40909091,19251
2023,"Adolis Garcia","TEX",7,10,9,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,19287
2023,"Randy Arozarena","TBR",7,15,15,5,3,0,0,2,4,5,0,0,2,0,0,0,0,0,0,0.33333333,19290
2023,"Alex Call","WSN",10,26,19,6,5,1,0,0,4,5,5,0,3,0,2,0,0,0,1,0.31578947,19296
2023,"Sean Murphy","ATL",8,13,10,3,2,1,0,0,1,1,3,0,3,0,0,0,1,0,0,0.3,19352
2023,"Austin Hays","BAL",8,16,15,5,2,2,0,1,5,1,1,0,5,0,0,0,1,0,0,0.33333333,19363
2023,"Kyle Lewis","ARI",5,13,13,2,1,0,0,1,1,2,0,0,7,0,0,0,0,0,0,0.15384615,19508
2023,"TJ Friedl","CIN",8,12,11,4,3,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0.36363636,19522
2023,"Yordan Alvarez","HOU",7,11,9,4,2,2,0,0,1,4,1,0,1,0,1,0,0,0,0,0.44444444,19556
2023,"Nathaniel Lowe","TEX",9,15,13,2,1,1,0,0,0,2,2,0,2,0,0,0,0,0,0,0.15384615,19566
2023,"Chas McCormick","HOU",4,10,10,4,1,2,0,1,3,2,0,0,1,0,0,0,0,1,0,0.4,19599
2023,"Keibert Ruiz","WSN",9,22,19,4,2,2,0,0,1,2,3,0,1,0,0,0,1,0,0,0.21052632,19610
2023,"Vladimir Guerrero Jr.","TOR",7,20,17,8,7,1,0,0,5,0,2,0,1,1,0,0,0,1,0,0.47058824,19611
2023,"Bo Bichette","TOR",7,21,20,6,4,1,0,1,3,2,1,0,1,0,0,0,1,0,0,0.3,19612
2023,"Brent Rooker","OAK",6,13,11,3,2,0,0,1,1,4,1,0,2,0,1,0,1,0,0,0.27272727,19627
2023,"Mike Brosseau","MIL",3,10,9,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.22222222,19683
2023,"Edward Olivares","KCR",7,13,11,2,1,1,0,0,0,2,2,1,3,0,0,0,0,0,0,0.18181818,19698
2023,"Shohei Ohtani","LAA",5,13,12,4,2,0,0,2,3,3,1,0,4,0,0,0,0,0,0,0.33333333,19755
2023,"Luis Rengifo","LAA",7,14,12,3,3,0,0,0,2,2,1,0,4,1,0,0,1,0,0,0.25,19858
2023,"Connor Wong","BOS",6,14,13,2,1,1,0,0,1,2,1,0,4,0,0,0,0,0,0,0.15384615,19896
2023,"Daulton Varsho","TOR",7,19,16,6,6,0,0,0,1,1,2,0,4,0,1,0,0,1,0,0.375,19918
2023,"Cristian Pache","PHI",7,14,13,4,2,2,0,0,0,1,0,0,4,0,0,1,1,0,0,0.30769231,19948
2023,"Andres Gimenez","CLE",7,15,13,6,4,2,0,0,4,0,1,0,2,1,0,0,0,1,0,0.46153846,19950
2023,"Santiago Espinal","TOR",7,17,17,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.11764706,19997
2023,"Isaac Paredes","TBR",9,18,16,6,5,0,0,1,3,6,1,0,4,1,0,0,0,0,0,0.375,20036
2023,"Luis Robert Jr.","CHW",5,10,10,5,2,0,0,3,3,5,0,0,2,0,0,0,0,0,0,0.5,20043
2023,"Juan Soto","SDP",9,24,20,3,1,2,0,0,2,0,4,0,7,0,0,0,0,1,0,0.15,20123
2023,"Miguel Vargas","LAD",7,11,7,1,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0.14285714,20178
2023,"Brandon Marsh","PHI",5,11,11,4,0,3,0,1,1,4,0,0,4,0,0,0,0,0,0,0.36363636,20202
2023,"Stuart Fairchild","CIN",9,16,13,3,2,0,1,0,3,1,2,0,4,1,0,0,0,0,1,0.23076923,20321
2023,"Luis Garcia","WSN",5,11,10,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0.2,20391
2023,"Jazz Chisholm Jr.","MIA",7,14,14,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.14285714,20454
2023,"William Contreras","MIL",6,11,8,3,2,1,0,0,0,0,3,0,2,0,0,0,1,0,0,0.375,20503
2023,"Elehuris Montero","COL",7,14,13,3,2,1,0,0,3,1,1,0,4,0,0,0,0,0,0,0.23076923,20543
2023,"Oscar Gonzalez","CLE",5,13,13,4,3,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0.30769231,20970
2023,"Jonathan India","CIN",9,18,15,3,1,1,0,1,3,3,2,0,4,1,0,0,0,3,0,0.2,21523
2023,"Matt Vierling","DET",5,15,13,1,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0.07692308,21558
2023,"Alec Bohm","PHI",10,22,21,8,6,1,0,1,4,4,1,0,4,0,0,0,2,0,0,0.38095238,21618
2023,"Jake McCarthy","ARI",8,11,10,2,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0.2,21622
2023,"Jeremy Pena","HOU",6,13,11,3,1,0,0,2,4,5,2,0,0,0,0,0,0,0,0,0.27272727,21636
2023,"Esteury Ruiz","OAK",8,17,13,6,5,1,0,0,4,3,1,0,2,2,0,0,1,1,0,0.46153846,21780
2023,"Rodolfo Castro","PIT",5,11,8,3,2,0,0,1,1,2,2,0,2,1,0,0,1,0,0,0.375,21987
2023,"Nick Allen","OAK",5,11,10,1,1,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0.1,22277
2023,"Taylor Walls","TBR",7,13,11,6,4,2,0,0,4,2,2,0,1,0,0,0,0,0,0,0.54545455,22458
2023,"Triston Casas","BOS",6,10,9,2,0,1,0,1,1,3,1,0,3,0,0,0,0,0,0,0.22222222,22514
2023,"Alejandro Kirk","TOR",7,13,8,1,1,0,0,0,1,1,4,1,3,0,1,0,0,0,0,0.125,22581
2023,"Gabriel Moreno","ARI",8,15,14,3,1,2,0,0,0,1,0,0,5,0,1,0,3,0,0,0.21428571,22664
