NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Andres Gimenez	'+360	2B	L	2	.291	CLE	v	OAK	26th	17th	sb	0.5	0,1,0,0,0,0,0,0,0,1	0.15	15%	20%	16%	20%	.318 14-44, 0 HR, 11 RBI, 2 BB, 10 SO	Stripling	R	.750 3-4, 0 HR, 2 RBI, 1 BB, 0 SO	-575
Cedric Mullins	'+500	CF	L	6	.254	BAL	@	KC	2nd	20th	sb	0.5	0,0,0,0,0,0,1,0,0,0	0.15	15%	10%	15%	8%	.167 4-24, 0 HR, 5 RBI, 3 BB, 7 SO	Lugo	R		-1000
Bryson Stott	'+340	2B	L	8	.222	PHI	v	CHW	23rd	1st	sb	0.5	0,0,0,0,0,0,1,0,0,0	0.15	15%	10%	14%	0%	.222 4-18, 0 HR, 1 RBI, 0 BB, 2 SO	Nastrini	R		-525
Maikel Garcia	'+425	3B	R	1	.181	KC	v	BAL	12th	28th	sb	0.5	0,2,0,0,0,0,0,0,1,0	0.2	15%	20%	14%	27%	.370 17-46, 1 HR, 8 RBI, 2 BB, 9 SO	Irvin	L	.667 2-3, 0 HR, 3 RBI, 0 BB, 0 SO	-700
George Springer	'+500	RF	R	1	.208	TOR	@	SD	5th	15th	sb	0.5	0,1,0,0,0,1,1,0,0,0	0.15	15%	30%	7%	15%	.118 2-17, 0 HR, 0 RBI, 1 BB, 3 SO	Musgrove	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO	-900
Zach Neto	'+800	SS	R	9	.174	LAA	@	CIN	27th	11th	sb	0.5	0,0,0,0,0,2,1,0,0,0	0.2	15%	20%	6%	0%	.000 0-7, 0 HR, 0 RBI, 0 BB, 4 SO	Montas	R		-2500
Gunnar Henderson	'+700	SS	L	1	.284	BAL	@	KC	2nd	20th	sb	0.5	0,0,0,0,1,0,0,0,0,0	0.2	15%	10%	5%	9%	.324 12-37, 3 HR, 7 RBI, 5 BB, 10 SO	Lugo	R		-1800
Braden Shewmake	'+700	SS	L	-	.156	CHW	@	PHI	24th	19th	sb	0.5	0,0,0,0,0,0,1,0,0,0	0.15	15%	10%	0%	0%	.000 0-6, 0 HR, 0 RBI, 0 BB, 1 SO	Nola	R		-1600
Zack Gelof	'+330	2B	R	2	.188	OAK	@	CLE	17th	3rd	sb	0.5	0,0,1,0,0,0,0,0,0,0	0.14	14%	10%	17%	17%	.091 2-22, 0 HR, 0 RBI, 2 BB, 10 SO	Bibee	R	.667 2-3, 0 HR, 0 RBI, 0 BB, 0 SO	-500
Jose Altuve	'+450	2B	R	1	.367	HOU	@	WSH	29th	2nd	sb	0.5	0,0,0,0,1,0,0,1,1,0	0.14	14%	30%	15%	20%	.200 4-20, 0 HR, 1 RBI, 3 BB, 3 SO	Parker	L		-800
