NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Ramon Laureano	-155	RF	R	7	.296	ATL	@	STL	17th	3rd	tb	0.5	1,0,0,0,5,6,0,1,1	1.56	56%	56%	0%	100%	.250 1-4, 0 HR, 1 RBI, 0 BB, 2 SO	Gibson	R	.500 10-20, 2 HR, 6 RBI, 4 BB, 3 SO	'+115
Ty France	-160	1B	R	6	.238	SEA	@	TB	28th	28th	tb	0.5	0,4,0,0,0,0,1,0,0,5	1.32	55%	30%	64%	74%	.139 5-36, 1 HR, 5 RBI, 0 BB, 9 SO	Pepiot	R		'+120
Gavin Lux	-205	2B	L	9	.225	LAD	@	CHW	26th	9th	tb	0.5	0,1,0,2,0,1,0,5,1,2	1.03	55%	60%	61%	100%	.643 9-14, 0 HR, 1 RBI, 3 BB, 2 SO	Fedde	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	'+150
Paul Dejong	-150	SS	R	6	.235	CHW	v	LAD	1st	18th	tb	0.5	5,1,0,1,0,1,1,0,1,2	1.49	55%	70%	57%	67%	.192 5-26, 2 HR, 5 RBI, 3 BB, 11 SO	Stone	R		'+110
Gavin Sheets	-150	RF	L	-	.236	CHW	v	LAD	1st	18th	tb	0.5	0,0,0,0,1,2,1,3,0,3	1.3	55%	50%	50%	29%	.182 2-11, 0 HR, 0 RBI, 2 BB, 3 SO	Stone	R		'+110
Michael Busch	-135	1B	L	7	.260	CHC	@	SF	24th	13th	tb	0.5	1,1,4,3,3,0,0,2,1,1	1.35	55%	80%	38%	75%	.321 9-28, 1 HR, 4 RBI, 3 BB, 8 SO	Birdsong	R		'+100
Tyler Black	-140	3B	L	7	.242	MIL	v	TEX	9th	19th	tb	0.5	2,0,0,1,0,1,0,0,2,1	0.91	55%	50%	0%	0%		Eovaldi	R		'+105
Jeff Mcneil	-170	2B	L	8	.216	NYM	v	NYY	6th	26th	tb	0.5	0,0,1,2,1,0,0,0,0,2	1.04	54%	40%	67%	76%	.316 6-19, 0 HR, 5 RBI, 1 BB, 2 SO	Gil	R		'+125
Josh Rojas	-200	3B	L	9	.256	SEA	@	TB	28th	28th	tb	0.5	5,2,3,2,0,0,2,0,0,0	1.17	54%	50%	57%	33%	.143 2-14, 0 HR, 1 RBI, 2 BB, 1 SO	Pepiot	R	.333 1-3, 0 HR, 0 RBI, 2 BB, 0 SO	'+145
Ian Happ	-165	LF	S	5	.222	CHC	@	SF	24th	13th	tb	0.5	5,3,5,2,6,0,0,1,0,0	1.41	54%	60%	57%	43%	.225 9-40, 2 HR, 6 RBI, 6 BB, 11 SO	Birdsong	R		'+120
Cal Raleigh	-150	C	S	4	.202	SEA	@	TB	28th	28th	tb	0.5	1,0,2,0,0,0,1,0,4,1	1.29	54%	50%	52%	50%	.231 6-26, 2 HR, 2 RBI, 4 BB, 8 SO	Pepiot	R		'+110
Bobby Witt	-160	SS	R	2	.311	KC	v	MIA	23rd	12th	tb	1.5	2,1,0,3,4,0,0,0,2,2	2.14	54%	50%	46%	60%	.263 5-19, 0 HR, 0 RBI, 1 BB, 4 SO	Bellozo	R		'+115
Gunnar Henderson	-120	SS	L	1	.278	BAL	v	CLE	15th	17th	tb	1.5	2,4,1,2,5,9,0,0,2,5	2.36	54%	70%	41%	45%	.250 8-32, 1 HR, 6 RBI, 7 BB, 10 SO	Carrasco	R		-115
Jackson Chourio	-140	RF	R	9	.231	MIL	v	TEX	9th	19th	tb	0.5	0,0,2,1,0,1,0,3,1,1	1.13	54%	60%	0%	100%	.250 2-8, 0 HR, 1 RBI, 0 BB, 0 SO	Eovaldi	R		'+100
Jacob Young	-135	CF	R	9	.269	WSH	@	SD	19th	30th	tb	0.5	0,5,0,0,0,5,2,2,0,1	1.03	53%	50%	64%	50%	.143 1-7, 0 HR, 1 RBI, 0 BB, 0 SO	Cease	R		'+100
Sal Frelick	-190	RF	L	5	.263	MIL	v	TEX	9th	19th	tb	0.5	0,2,1,3,0,0,1,0,3,3	1.12	53%	60%	58%	67%	.400 4-10, 0 HR, 0 RBI, 0 BB, 1 SO	Eovaldi	R		'+140
Orlando Arcia	-175	SS	R	9	.212	ATL	@	STL	17th	3rd	tb	0.5	1,0,0,1,0,0,0,0,2,0	1.24	53%	30%	55%	54%	.174 4-23, 1 HR, 3 RBI, 0 BB, 7 SO	Gibson	R	.250 1-4, 0 HR, 0 RBI, 0 BB, 1 SO	'+125
Nick Senzel	-130	3B	R	8	.220	WSH	@	SD	19th	30th	tb	0.5	0,0,0,0,0,2,1,0,4,2	1.25	53%	40%	54%	43%	.273 6-22, 2 HR, 3 RBI, 0 BB, 4 SO	Cease	R		-105
Jose Ramirez	'+100	3B	S	3	.275	CLE	@	BAL	5th	21st	tb	1.5	2,0,2,2,0,1,4,2,5,6	2.19	53%	70%	45%	45%	.390 16-41, 2 HR, 8 RBI, 1 BB, 5 SO	Rodriguez	R	.000 2-2, 0 HR, 1 RBI, 1 BB, 0 SO	-140
Wilmer Flores	-175	1B	R	7	.211	SF	v	CHC	16th	24th	tb	0.5	0,0,1,0,2,0,0,1,2,0	0.97	52%	40%	58%	47%	.120 3-25, 1 HR, 3 RBI, 4 BB, 7 SO	Wesneski	R	.500 2-4, 1 HR, 2 RBI, 0 BB, 1 SO	'+125
Zack Gelof	-150	2B	R	8	.196	OAK	@	LAA	21st	8th	tb	0.5	0,2,5,4,5,0,0,0,1,1	1.28	51%	60%	67%	62%	.273 9-33, 1 HR, 5 RBI, 2 BB, 8 SO	Contreras	R		'+110
Luke Raley	-125	LF	L	5	.258	SEA	@	TB	28th	28th	tb	0.5	0,2,5,0,0,0,3,6,0,0	1.3	51%	40%	50%	0%	.000 0-8, 0 HR, 0 RBI, 0 BB, 4 SO	Pepiot	R		-110
Kyle Isbel	-170	CF	L	-	.227	KC	v	MIA	23rd	12th	tb	0.5	2,1,0,0,3,2,0,4,1,0	1.08	51%	60%	46%	50%	.167 1-6, 0 HR, 1 RBI, 0 BB, 1 SO	Bellozo	R		'+125
Aaron Judge	-135	CF	R	3	.307	NYY	@	NYM	8th	22nd	tb	1.5	0,2,1,4,1,5,0,4,1,6	2.52	51%	50%	46%	64%	.312 25-80, 11 HR, 20 RBI, 6 BB, 24 SO	Manaea	L	.417 5-12, 2 HR, 6 RBI, 2 BB, 5 SO	'+100
Tyler Soderstrom	-165	1B	L	5	.239	OAK	@	LAA	21st	8th	tb	0.5	6,1,0,2,0,3,4,0,0,1	1.26	51%	60%	0%	50%	.167 1-6, 0 HR, 0 RBI, 0 BB, 1 SO	Contreras	R		'+125
Austin Martin	-175	LF	R	-	.267	MIN	@	ARI	29th	10th	tb	0.5	0,2,0,3,2,1,0,2,1,0	0.97	51%	60%	0%	0%	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	Nelson	R		'+125
Heliot Ramos	'+135	LF	R	2	.295	SF	v	CHC	16th	24th	tb	1.5	8,2,5,0,0,4,0,0,4,0	2.02	51%	50%	0%	40%	.250 5-20, 1 HR, 2 RBI, 3 BB, 5 SO	Wesneski	R	.000 1-1, 1 HR, 1 RBI, 0 BB, 0 SO	-185
Brayan Rocchio	-175	SS	S	8	.214	CLE	@	BAL	5th	21st	tb	0.5	2,0,4,0,1,0,2,1,0,1	0.9	50%	60%	65%	50%	.333 1-3, 0 HR, 1 RBI, 0 BB, 0 SO	Rodriguez	R		'+130
