NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Christian Walker	'+140	1B	R	4	.251	ARI	v	LAA	28th	28th	bb	0.5	1,0,0,0,0,0,0,0,0,0	0.48	37%	10%	30%	30%	.000 0-18, 0 HR, 0 RBI, 1 BB, 8 SO	Soriano	R		-190
Corbin Carroll	'+140	CF	L	1	.213	ARI	v	LAA	28th	28th	bb	0.5	0,1,0,0,0,0,2,0,1,1	0.45	37%	40%	30%	50%	.600 3-5, 0 HR, 1 RBI, 1 BB, 0 SO	Soriano	R		-185
Ketel Marte	'+125	2B	S	2	.283	ARI	v	LAA	28th	28th	bb	0.5	1,1,1,0,1,0,1,0,1,3	0.4	37%	70%	30%	32%	.133 2-15, 0 HR, 0 RBI, 4 BB, 4 SO	Soriano	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	-170
Gavin Sheets	'+180	RF	L	4	.241	CHW	@	SEA	1st	2nd	bb	0.5	0,0,0,0,0,2,0,1,1,0	0.48	37%	30%	20%	20%	.278 5-18, 1 HR, 1 RBI, 1 BB, 6 SO	Miller	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	-250
Ryan Mcmahon	'+165	3B	L	4	.262	COL	@	MIN	3rd	3rd	bb	0.5	0,2,1,0,0,0,0,0,0,0	0.47	36%	20%	31%	29%	.125 2-16, 1 HR, 1 RBI, 0 BB, 9 SO	Lopez	R	.222 2-9, 0 HR, 1 RBI, 2 BB, 3 SO	-225
Elly De La Cruz	'+190	SS	S	2	.232	CIN	v	CLE	8th	16th	bb	0.5	0,0,0,0,0,0,1,0,1,1	0.46	36%	30%	30%	60%	.263 5-19, 2 HR, 4 RBI, 3 BB, 5 SO	Bibee	R		-265
Kebryan Hayes	'+310	3B	R	5	.247	PIT	@	STL	13th	18th	bb	0.5	1,0,0,0,1,1,0,0,0,0	0.41	36%	30%	29%	32%	.320 16-50, 4 HR, 7 RBI, 4 BB, 8 SO	Gray	R	.333 2-6, 0 HR, 2 RBI, 0 BB, 2 SO	-475
Bryson Stott	'+175	2B	L	2	.247	PHI	@	BOS	2nd	12th	bb	0.5	0,0,0,1,0,1,0,1,0,0	0.48	36%	30%	24%	0%	.250 3-12, 0 HR, 0 RBI, 0 BB, 2 SO	Pivetta	R		-240
Yandy Diaz	'+125	1B	R	1	.258	TB	v	CHC	22nd	15th	bb	0.5	1,1,0,0,1,0,0,0,0,1	0.39	35%	40%	39%	40%	.154 2-13, 0 HR, 0 RBI, 1 BB, 3 SO	Assad	R		-170
William Contreras	'+180	C	R	2	.311	MIL	v	TOR	14th	9th	bb	0.5	1,1,0,0,0,0,0,0,0,0	0.41	35%	20%	34%	38%	.176 3-17, 1 HR, 2 RBI, 3 BB, 6 SO	Bassitt	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	-250
Bryan Reynolds	'+190	LF	S	2	.263	PIT	@	STL	13th	18th	bb	0.5	0,0,1,0,0,0,0,0,1,1	0.42	35%	30%	32%	25%	.241 13-54, 0 HR, 5 RBI, 3 BB, 9 SO	Gray	R	.286 4-14, 2 HR, 3 RBI, 0 BB, 6 SO	-260
Austin Riley	'+120	3B	R	2	.225	ATL	@	BAL	12th	8th	bb	0.5	0,1,0,1,0,0,1,0,1,0	0.35	35%	40%	28%	0%	.176 3-17, 0 HR, 0 RBI, 0 BB, 5 SO	Povich	L		-160
Will Benson	'+215	CF	L	9	.209	CIN	v	CLE	8th	16th	bb	0.5	1,0,2,0,0,0,0,0,0,0	0.41	35%	20%	26%	40%	.167 2-12, 0 HR, 0 RBI, 3 BB, 4 SO	Bibee	R		-300
Lane Thomas	'+220	RF	R	2	.222	WSH	@	DET	4th	7th	bb	0.5	1,0,0,0,0,0,1,0,1,1	0.38	35%	40%	25%	33%	.429 6-14, 1 HR, 6 RBI, 2 BB, 2 SO	Olson	R		-310
Yordan Alvarez	'+145	LF	L	3	.290	HOU	@	SF	15th	1st	bb	0.5	1,0,1,0,0,1,0,2,0,0	0.42	34%	40%	42%	25%	.211 4-19, 0 HR, 0 RBI, 1 BB, 4 SO	Webb	R	.250 1-4, 0 HR, 0 RBI, 0 BB, 0 SO	-190
Matt Olson	'+135	1B	L	4	.241	ATL	@	BAL	12th	8th	bb	0.5	0,1,0,0,1,0,0,0,1,1	0.42	34%	40%	40%	46%	.286 4-14, 1 HR, 1 RBI, 4 BB, 3 SO	Povich	L		-180
Michael Busch	'+175	1B	L	8	.245	CHC	@	TB	5th	4th	bb	0.5	1,1,1,0,0,0,1,1,1,0	0.44	34%	60%	31%	0%	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	Civale	R		-240
Brent Rooker	'+180	LF	R	4	.263	OAK	@	SD	7th	21st	bb	0.5	0,2,1,0,0,0,1,0,0,0	0.43	34%	30%	28%	0%	.222 4-18, 2 HR, 2 RBI, 0 BB, 9 SO	King	R		-250
Taylor Ward	'+125	LF	R	3	.253	LAA	@	ARI	16th	17th	bb	0.5	1,0,1,0,0,1,1,3,0,1	0.46	34%	60%	28%	27%	.364 4-11, 1 HR, 2 RBI, 2 BB, 1 SO	Cecconi	R		-165
