NAME	POS	R/L	Batting #	TEAM	A/H	OPP	OPP RANK	OPP RANK VAL	PITCHER	THROWS	VS PITCHER	PROP	LINE	LAST ➡️	% OVER	LYR AVG	LYR % OVER	LYR # MATCHUPS	LYR MATCHUPS	OVER	UNDER
Juan Soto	LF	L	2	SD	v	ARI	24th	4.0	Nelson	R	.200 1-5, 1 HR, 1 RBI, 1 BB, 1 SO	1b	0.5	0,0,1,0,0	20%	0.48	39%	14	29%	'+140	-190
Tyler Stephenson	C	R	4	CIN	v	CHC	15th	5.0	Smyly	L	.143 1-7, 0 HR, 1 RBI, 2 BB, 2 SO	1b	0.5	2,1,2,1	100%	0.76	54%	3	67%	-115	-115
Aj Pollock	LF	R	5	SEA	v	LAA	8th	6.67	Detmers	L	.667 2-3, 0 HR, 1 RBI, 0 BB, 0 SO	1b	0.5	0,0	0%	0.59	47%	6	50%	'+100	-135
Miguel Rojas	SS	R	-	LAD	v	COL	12th	5.5	Feltner	R	.000 0-5, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	0,0,0,2	25%	0.6	49%	5	80%	-105	-125
Aaron Judge	RF	R	2	NYY	v	PHI	15th	5.0	Walker	R	.364 4-11, 4 HR, 5 RBI, 2 BB, 3 SO	1b	0.5	1,0,3,1	75%	0.55	44%	0	0%	'+150	-205
Anthony Rizzo	1B	L	3	NYY	v	PHI	15th	5.0	Walker	R	.200 3-15, 1 HR, 1 RBI, 1 BB, 2 SO	1b	0.5	0,1,1,1	75%	0.39	34%	0	0%	'+120	-160
Manuel Margot	RF	R	8	TB	@	WSH	15th	5.0	Williams	R	.000 0-2, 0 HR, 1 RBI, 0 BB, 0 SO	1b	0.5	1,0,0	33%	0.76	57%	0	0%	-130	-105
Taylor Ward	LF	R	1	LAA	@	SEA	28th	3.5	Kirby	R	.250 3-12, 0 HR, 0 RBI, 0 BB, 2 SO	1b	0.5	0,3,2,1	75%	0.68	53%	19	68%	'+100	-130
Alek Thomas	CF	L	-	ARI	@	SD	27th	3.75	Weathers	L		1b	0.5	0,0,0,0	0%	0.56	43%	13	31%	'+105	-135
Spencer Steer	3B	R	2	CIN	v	CHC	15th	5.0	Smyly	L	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	2,1,0,0	50%	0.46	43%	8	25%	'+105	-140
