NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Carlos Correa	'+330	SS	R	5	.368	MIN	v	CLE	4th	6th	2b	0.5	1,0,0,0,0,1	0.33	33%	30%	20%	0%	.319 87-273, 12 HR, 28 RBI, 26 BB, 78 SO	Carrasco	R	.273 3-11, 0 HR, 1 RBI, 2 BB, 4 SO	-525
Byron Buxton	'+360	CF	R	3	.261	MIN	v	CLE	4th	6th	2b	0.5	0,2,0,0,1,0	0.5	33%	50%	17%	0%	.156 36-231, 12 HR, 24 RBI, 11 BB, 98 SO	Carrasco	R	.200 2-10, 1 HR, 3 RBI, 0 BB, 2 SO	-575
Alex Kirilloff	'+320	LF	L	2	.409	MIN	v	CLE	4th	6th	2b	0.5	0,0,1,0,1,0	0.33	33%	30%	16%	0%	.267 28-105, 2 HR, 13 RBI, 5 BB, 13 SO	Carrasco	R		-500
Enrique Hernandez	'+400	CF	R	8	.200	LAD	@	CHC	24th	17th	2b	0.5	0,1,0,1,0,0	0.33	33%	20%	16%	0%	.233 21-90, 4 HR, 12 RBI, 12 BB, 20 SO	Wicks	L		-650
Jonah Heim	'+400	C	S	8	.269	TEX	v	HOU	15th	15th	2b	0.5	0,1,0,0,0,1	0.33	33%	20%	15%	0%	.234 36-154, 1 HR, 4 RBI, 15 BB, 29 SO	France	R		-650
Josh Smith	'+450	SS	L	-	.364	TEX	v	HOU	15th	15th	2b	0.5	0,0,0,1,0,1	0.33	33%	30%	8%	0%	.357 25-70, 2 HR, 12 RBI, 11 BB, 7 SO	France	R		-800
James Mccann	'+340	C	R	-	.500	BAL	@	PIT	3rd	10th	2b	0.5	0,0,1	0.33	33%	10%	0%	0%	.277 23-83, 4 HR, 12 RBI, 10 BB, 16 SO	Falter	L	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-525
Jake Fraley	'+425	RF	L	5	.438	CIN	v	NYM	30th	30th	2b	0.5	1,0,0,0,1,0	0.33	33%	20%	0%	0%	.233 7-30, 1 HR, 5 RBI, 2 BB, 14 SO	Severino	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	-750
Brice Turang	'+475	2B	L	9	.368	MIL	v	SEA	17th	11th	2b	0.5	0,0,1,1,0,0	0.33	33%	33%	0%	0%	.000 0-3, 0 HR, 0 RBI, 1 BB, 0 SO	Miller	R		-800
Austin Riley	'+320	3B	R	3	.192	ATL	v	ARI	9th	16th	2b	0.5	0,1,1,0,0,0	0.33	33%	50%	0%	0%	.237 28-118, 11 HR, 31 RBI, 4 BB, 38 SO	Pfaadt	R		-475
Jarred Kelenic	'+390	LF	L	9	.583	ATL	v	ARI	9th	16th	2b	0.5	0,0,1,0,0,1	0.33	33%	20%	0%	0%	.429 15-35, 3 HR, 16 RBI, 1 BB, 4 SO	Pfaadt	R		-650
Matt Olson	'+310	1B	L	4	.269	ATL	v	ARI	9th	16th	2b	0.5	3,0,0,0,0,1	0.67	33%	20%	0%	0%	.324 35-108, 15 HR, 33 RBI, 16 BB, 22 SO	Pfaadt	R		-475
Michael Harris	'+265	CF	L	6	.333	ATL	v	ARI	9th	16th	2b	0.5	0,1,0,1,0,0	0.33	33%	50%	0%	0%	.205 18-88, 0 HR, 3 RBI, 3 BB, 33 SO	Pfaadt	R		-390
Ronald Acuna	'+260	RF	R	1	.292	ATL	v	ARI	9th	16th	2b	0.5	0,0,0,1,0,1	0.33	33%	30%	0%	0%	.272 41-151, 4 HR, 16 RBI, 9 BB, 39 SO	Pfaadt	R		-380
Travis Darnaud	'+360	C	R	8	.267	ATL	v	ARI	9th	16th	2b	0.5	0,1,0,1,0,0	0.33	33%	20%	0%	0%	.303 33-109, 0 HR, 10 RBI, 5 BB, 21 SO	Pfaadt	R		-575
Rafael Devers	'+400	3B	L	3	.200	BOS	@	LAA	20th	26th	2b	0.5	1,0,0,0,1,0	0.33	33%	20%	0%	0%	.245 36-147, 10 HR, 24 RBI, 23 BB, 24 SO	Detmers	L	.000 0-6, 0 HR, 0 RBI, 0 BB, 0 SO	-700
Mookie Betts	'+300	SS	R	1	.447	LAD	@	CHC	24th	17th	2b	0.5	0,1,0,0,1,0,1,0,0,0	0.3	30%	30%	25%	0%	.234 36-154, 5 HR, 15 RBI, 11 BB, 39 SO	Wicks	L		-450
Jake Cronenworth	'+260	1B	L	3	.308	SD	@	SF	12th	24th	2b	0.5	0,0,1,1,0,1,0,0,0,0	0.3	30%	30%	18%	0%	.309 115-372, 2 HR, 63 RBI, 13 BB, 52 SO	Winn	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO	-380
Zach Neto	'+500	SS	R	9	.200	LAA	v	BOS	21st	1st	2b	0.5	0,0,0,0,1,1,0	0.29	29%	30%	18%	0%	.082 5-61, 1 HR, 3 RBI, 0 BB, 14 SO	Whitlock	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	-900
Taylor Ward	'+360	LF	R	4	.300	LAA	v	BOS	21st	1st	2b	0.5	0,0,0,1,0,1,0	0.29	29%	30%	16%	0%	.179 17-95, 1 HR, 3 RBI, 5 BB, 22 SO	Whitlock	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO	-575
Jd Davis	'+450	3B	R	6	.308	OAK	@	DET	26th	27th	2b	0.5	0,0,0,0,1,1,0	0.29	29%	30%	14%	0%	.089 5-56, 2 HR, 6 RBI, 4 BB, 23 SO	Maeda	R		-750
Anthony Volpe	'+500	SS	R	6	.423	NYY	v	TOR	26th	8th	2b	0.5	0,1,0,2,0,0,0	0.43	29%	20%	14%	0%	.329 27-82, 2 HR, 3 RBI, 2 BB, 17 SO	Gausman	R	.000 0-9, 0 HR, 0 RBI, 0 BB, 7 SO	-1000
Brendan Donovan	'+500	LF	L	1	.308	STL	v	MIA	25th	23rd	2b	0.5	0,0,1,0,1,0,0	0.29	29%	20%	13%	0%	.258 8-31, 1 HR, 2 RBI, 1 BB, 7 SO	Rogers	L		-900
Luis Urias	'+550	3B	R	8	.154	SEA	@	MIL	19th	25th	2b	0.5	0,0,0,0,0,1,1	0.29	29%	20%	13%	0%	.393 11-28, 0 HR, 9 RBI, 0 BB, 16 SO	Hall	L		-1100
Nick Allen	'+550	SS	R	9	.217	OAK	@	DET	26th	27th	2b	0.5	0,1,0,1,0,0,0	0.29	29%	30%	9%	0%	.070 4-57, 0 HR, 9 RBI, 2 BB, 7 SO	Maeda	R	.333 1-3, 0 HR, 1 RBI, 0 BB, 1 SO	-1100
Seiya Suzuki	'+425	RF	R	2	.345	CHC	v	LAD	8th	5th	2b	0.5	1,0,0,0,0,0,1	0.29	29%	30%	0%	0%	.304 21-69, 1 HR, 36 RBI, 16 BB, 25 SO	Yamamoto	R		-750
Adley Rutschman	'+255	C	S	2	.346	BAL	@	PIT	3rd	10th	2b	0.5	0,0,0,1,0,1,0	0.29	29%	20%	0%	0%	.403 25-62, 1 HR, 11 RBI, 6 BB, 19 SO	Falter	L		-370
Anthony Santander	'+270	RF	S	4	.241	BAL	@	PIT	3rd	10th	2b	0.5	0,1,0,0,0,0,1	0.29	29%	20%	0%	0%	.338 25-74, 0 HR, 10 RBI, 2 BB, 15 SO	Falter	L		-400
Ryan Mountcastle	'+275	1B	R	3	.280	BAL	@	PIT	3rd	10th	2b	0.5	0,2,0,0,0,0,1	0.43	29%	30%	0%	0%	.206 14-68, 0 HR, 1 RBI, 1 BB, 26 SO	Falter	L		-400
Christian Encarnacion Strand	'+330	1B	R	3	.161	CIN	v	NYM	30th	30th	2b	0.5	0,0,0,0,1,1,0	0.29	29%	20%	0%	0%	.070 4-57, 2 HR, 4 RBI, 0 BB, 11 SO	Severino	R		-525
Spencer Steer	'+350	LF	R	7	.423	CIN	v	NYM	30th	30th	2b	0.5	1,0,0,1,0,0,0	0.29	29%	40%	0%	0%	.277 13-47, 12 HR, 13 RBI, 26 BB, 15 SO	Severino	R	.500 1-2, 0 HR, 1 RBI, 0 BB, 0 SO	-550
