EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	Bet365	CZ	Kambi	ESPN	L10% Over	% Over	Splits		Minutes
19.7	145 CZ	41%	valladolid	Raul Moro	shots_on_target	o 0.5	-110	-	-	145	-	-	50%	43%	0,1,1,0,0,0,1,0,1,1	🟡	16,90,90,56,45
19.7	120 CZ	45%	monaco	Denis Zakaria	shots	o 1.5	'+110	-	-450	120	-	'+120	-%	-%		🟡	
19.7	450 365	18%	lecce	Tete Morente	shots	o 2.5	'+280	-	'+450	-	-	-	20%	9%	4,2,1,3,1,0,1,1,2,0	🟡	82,35,69,90,81
19.7	130 BR	43%	cardiff	Will Fish	shots	o 0.5	-125	-	-	-	130/-225	-	10%	9%	0,0,0,0,0,0,3,0,0,0	-	10,120,90,28,90
19.6	165 BR	38%	sheffield wednesday	Djeidi Gassama	shots_on_target	o 0.5	'+105	-	-	-	165/-286	-	50%	37%	0,0,1,2,0,1,1,0,1,0	-	90,90,80,81,90
19.3	-104 BR	51%	fiorentina	Thorir Helgason	shots	o 0.5	-185	-	-	-	-104/-159	-	-%	-%			
19.1	-145 FD	59%	las palmas	Fabio Silva	shots	o 2.5	-145	-	-300	-300	-	-	30%	26%	0,2,2,2,1,1,2,3,3,3		75,79,68,90,90
19.1	115 CZ	47%	bayern munich	Leon Goretzka	shots	o 1.5	-145	-	-	115	-	-	40%	33%	3,0,4,4,0,0,0,1,3,0	🟡	10,90,23,90,48
19.1	-185 DK	65%	reims	Oumar Diakite	tackles	o 0.5	-	-185	-	-475	-	-500	-%	-%		🟡	
18.8	125 365	44%	cardiff	Cian Ashford	tackles	o 1.5	-	-130	'+125/-175	-	-	-	30%	22%	2,0,2,0,2,0,0,0,0,1	-	67,81,10,15,84
18.7	117 BR	46%	reims	Mamadou Diakhon	shots_on_target	o 0.5	-140	-	-	-	117	-	-%	-%			
18.5	137 365	42%	cardiff	Callum Robinson	tackles	o 0.5	-	-115	'+137/-188	-	-	-	30%	19%	0,0,0,0,1,0,1,0,1,0	-	83,90,90,70,62
18.3	300 CZ	25%	valladolid	Raul Moro	shots	o 2.5	'+220	-	'+175	300	-	-	20%	19%	0,2,1,0,0,0,1,3,3,2	🟡	16,90,90,56,45
18.2	-130 FD	57%	las palmas	Jaime Mata	shots	o 1.5	-130	-	-250	-	-	-	0%	4%	0,1,1,0,1,0,1,0,1,0		11,35,9,20,25
18.2	-150 BR	60%	aston villa	Ian Maatsen	shots	o 0.5	-350	-	-275	-	-150/-112	-	-%	-%		-	
18.1	-175 DK	64%	stuttgart	Angelo Stiller	tackles	o 1.5	-	-175	-	-400	-	-	60%	48%	3,0,2,2,0,2,3,1,1,6	🟡	90,90,90,90,90
18.1	112 BR	47%	stuttgart	Nick Woltemade	shots_on_target	o 0.5	-210	-	-	-105	112/-182	-	70%	62%	1,2,0,1,1,1,0,0,1,3	🟡	90,90,5,21,90
18.1	-175 DK	64%	cardiff	Sivert Mannsverk	tackles	o 1.5	-	-175	-400	-	-	-	60%	60%	3,3,1,2,0	-	62,72,80,90,90
17.8	190 BR	34%	sheffield wednesday	Svante Ingelsson	shots_on_target	o 0.5	'+125	-	-	-	190/-345	-	20%	23%	2,0,0,0,0,0,0,0,1,0	-	12,37,87,45,13
17.7	130 BR	43%	stuttgart	Enzo Millot	shots	o 1.5	-120	-	-	-	130/-225	-	10%	41%	1,1,1,2,1,0,0,0,1,0		79,8,76,90,9
17.7	-157 BR	61%	monaco	Eliesse Ben Seghir	shots_on_target	o 0.5	-330	-	-	-	-157	-	-%	-%		🟡	
17.7	130 BR	43%	aston villa	Ezri Konsa	shots	o 0.5	-120	-	-	-	130/-225	-	-%	-%		-	
17.5	-150 BR	60%	bayern munich	Raphael Guerreiro	shots	o 0.5	-300	-	-	-	-150/-112	-	40%	56%	1,0,1,1,0,0,1,0,0,0		7,84,89,77,63
17.4	-122 BR	55%	stuttgart	Josha Vagnoman	shots	o 0.5	-220	-	-	-	-122/-137	-	40%	43%	2,1,0,2,0,0,0,0,0,1	🟡	89,90,59,21,87
17.4	-185 DK	65%	reims	Teddy Teuma	tackles	o 1.5	-	-185	-	-425	-	-450	-%	-%		🟡	
17.4	102 BR	50%	aston villa	Ollie Watkins	shots_on_target	o 1.5	-165	-	-	-	102/-167	-	-%	-%		-	
17.2	-250 DK	71%	fiorentina	Nicolo Zaniolo	tackles	o 0.5	-	-250	-	-800	-	-	10%	8%	0,0,0,0,0,0,0,0,0,1	🟡	14,14,24,54,83
17.2	240 BR	29%	cardiff	Chris Willock	shots_on_target	o 0.5	'+160	-	-	-	240/-480	-	30%	29%	0,0,0,0,1,1,0,1,0,0	-	77,55,120,20,62
17.1	118 BR	46%	stuttgart	Ameen Al Dakhil	shots	o 0.5	-135	-	-	-	118/-205	-	20%	20%	0,0,2,0,0,1,0,0,0,0		79,10,90,70,58
17.0	110 DK	48%	cardiff	Rubin Colwill	tackles	o 1.5	-	'+110	-150/+110	-	-	-	30%	32%	1,0,1,1,1,3,1,2,2,0	-	120,31,90,75,6
16.8	-240 DK	71%	lecce	Frederic Guilbert	tackles	o 1.5	-	-240	-	-700	-	-	80%	71%	0,3,4,4,2,3,3,2,0,3	🟡	90,90,90,75,88
16.4	1200 FD	8%	valladolid	Marvin Park	shots	o 2.5	'+1200	-	'+600	-	-	-	-%	-%			
16.4	300 FD	25%	valladolid	Marvin Park	shots	o 1.5	'+300	-	'+200	-	-	-	-%	-%			
16.4	1200 FD	8%	monaco	Thilo Kehrer	shots	o 2.5	'+1200	-	'+600	-	-	-	-%	-%			
16.4	1200 FD	8%	lecce	Santiago Pierotti	shots_on_target	o 1.5	'+1200	-	-	600	-	-	20%	7%	0,0,0,0,1,0,2,0,2,0		90,90,88,88,45
16.3	340 FD	23%	monaco	Takumi Minamino	shots	o 4.5	'+340	-	'+225	-	-	-	-%	-%		🟡	
16.3	163 BR	38%	reims	Joseph Okumu	shots	o 0.5	-145	-	-	135	163	'+140	-%	-%		🟡	
15.9	-155 BR	61%	sheffield wednesday	Wilson Isidor	shots_on_target	o 0.5	-300	-	-	-	-155/-103	-	-%	-%		-	
15.8	450 CZ	18%	las palmas	Sandro Ramirez	shots_on_target	o 1.5	'+290	-	-	450	-	-	30%	20%	1,1,3,1,2,0,0,3,0,1	🟡	79,79,90,84,90
15.4	900 365	10%	cardiff	Yakou Meite	shots	o 3.5	'+500	-	'+900	-	-	-	0%	4%	2,1,0,3,0,0,0,2,0,1	-	12,7,69,7,15
15.2	280 CZ	26%	monaco	Vanderson	shots	o 1.5	'+135	-	-	280	-	'+280	-%	-%		🟡	
15.1	-200 FD	67%	las palmas	Alberto Moleiro	shots	o 1.5	-200	-	-700	-320	-	-	-%	-%		🟡	
15.1	155 BR	39%	sheffield wednesday	Jobe Bellingham	shots_on_target	o 0.5	'+105	-	-	-	155/-265	-	-%	-%		-	
15.1	125 365	44%	cardiff	Calum Chambers	tackles	o 2.5	-	-120	'+125/-175	-	-	-	40%	20%	5,1,2,1,0,4,1,0,3,4	-	90,90,64,90,77
15.1	-117 BR	54%	aston villa	Leon Bailey	shots_on_target	o 0.5	-195	-	-	-	-117/-136	-	-%	-%		-	
15.1	155 BR	39%	cardiff	Callum Odowda	shots	o 0.5	'+105	-	-	-	155/-295	-	60%	58%	1,0,1,0,0,1,3,1,0,1	-	58,90,90,90,90
14.9	-130 FD	57%	reims	Amadou Kone	shots	o 0.5	-130	-	-	-260	-195	-230	-%	-%		🟡	
14.8	-125 CZ	56%	lecce	Lassana Coulibaly	tackles	o 1.5	-	-215	-	-125	-	-	60%	35%	3,2,2,2,0,0,0,2,2,1	🟡	45,35,90,90,90
14.7	-150 FD	60%	valladolid	Florian Grillitsch	shots	o 0.5	-150	-	-	-280	-	-	60%	48%	1,2,1,1,1,0,0,0,1,0	🟡	90,1,25,45,30
14.4	-185 FD	65%	las palmas	Fabio Silva	shots_on_target	o 0.5	-185	-	-	-380	-	-	50%	68%	0,0,2,1,0,0,0,1,1,1		75,79,68,90,90
14.4	-110 DK	52%	fiorentina	Dodo	tackles	o 1.5	-	-110	-	-180	-	-	80%	48%	2,1,5,2,2,2,2,2,1,2	🟡	90,90,90,90,90
14.4	210 CZ	32%	fiorentina	Nicolo Zaniolo	shots	o 2.5	'+145	-	-	210	-	-	0%	0%	1,0,1,0,1,0,1,1,2,2	🟡	14,14,24,54,83
14.2	160 DK	38%	monaco	Denis Zakaria	tackles	o 2.5	-	'+160	-	110	-	'+110	-%	-%		🟡	
14.1	-260 DK	72%	valladolid	Juanma Herzog	tackles	o 0.5	-	-260	-	-700	-	-	-%	-%			
14.0	190 BR	34%	stuttgart	Chris Fuhrich	shots_on_target	o 0.5	'+110	-	-	160	190/-360	-	30%	35%	0,0,1,0,2,2,0,0,0,0	🟡	32,69,69,83,90
13.9	-180 BR	64%	aston villa	Donyell Malen	shots_on_target	o 0.5	-360	-	-	-	-180/110	-	-%	-%		-	
13.8	2000 FD	5%	monaco	Lamine Camara	shots	o 4.5	'+2000	-	'+800	-	-	-	-%	-%		🟡	
13.7	-195 FD	66%	valladolid	Darwin Machis	shots	o 1.5	-195	-	-400	-	-	-	30%	40%	3,0,0,2,1,1,0,0,2,1		16,20,13,45,45
13.7	-125 DK	56%	monaco	Maghnes Akliouche	tackles	o 1.5	-	-125	-	-210	-	-210	-%	-%		🟡	
13.7	120 CZ	45%	monaco	Maghnes Akliouche	shots	o 2.5	'+105	-	-250	120	-	'+120	-%	-%		🟡	
13.6	105 CZ	49%	valladolid	Raul Moro	shots	o 1.5	-145	-	-	105	-	-	40%	43%	0,2,1,0,0,0,1,3,3,2	🟡	16,90,90,56,45
13.6	380 FD	21%	bayern munich	Harry Kane	shots	o 5.5	'+380	-	-	-	215/-420	-	10%	12%	7,5,1,3,4,5,2,1,2,1	🟡	90,90,90,45,27
13.5	-265 BR	73%	stuttgart	Jacob Bruun Larsen	shots	o 0.5	-700	-	-	-	-265/145	-	60%	62%	2,1,2,0,1,0,1,1,0,0		30,71,78,69,18
13.4	215 BR	32%	aston villa	Ian Maatsen	shots_on_target	o 0.5	'+150	-	-	-	215/-420	-	-%	-%		-	
13.3	123 BR	45%	stuttgart	Deniz Undav	shots	o 2.5	-155	-	-	110	123/-215	-	30%	43%	3,2,2,3,2,0,6,1,2,2	🟡	21,82,69,69,81
13.3	165 BR	38%	cardiff	Rubin Colwill	shots	o 1.5	'+115	-	-	-	165/-335	-	10%	37%	1,1,1,0,1,4,0,1,1,1	-	120,31,90,75,6
13.3	200 365	33%	aston villa	Ollie Watkins	shots	o 4.5	'+140	-	'+200	-	-	-	-%	-%		-	
13.2	170 BR	37%	reims	Junya Ito	shots_on_target	o 0.5	-125	-	-	140	170	'+150	-%	-%		🟡	
12.9	135 BR	43%	monaco	Mika Biereth	shots	o 3.5	'+120	-	-175	105	135	'+105	-%	-%		🟡	
12.8	-185 DK	65%	bayern munich	Alphonso Davies	tackles	o 1.5	-	-185	-	-360	-	-	40%	46%	4,0,1,2,1,1,3,1,0,4	🟡	90,90,44,27,28
12.8	110 BR	48%	bayern munich	Aleksandar Pavlovic	shots	o 0.5	-195	-	-	105	110/-195	-	20%	29%	0,0,0,0,0,0,2,1,0,0	🟡	90,57,80,67,90
12.8	-350 DK	78%	fiorentina	Pietro Comuzzo	tackles	o 0.5	-	-350	-	-1400	-	-	60%	73%	4,0,2,5,1,1,2,0,0,0	🟡	90,28,35,90,90
12.8	-112 BR	53%	aston villa v cardiff	Marcus Rashford	shots	o 2.5	-175	-	-	-	-112/-150	-	-%	-%		-	
12.7	148 BR	40%	lecce	Tete Morente	shots	o 1.5	-115	-	-	125	148/-265	-	40%	26%	4,2,1,3,1,0,1,1,2,0	🟡	82,35,69,90,81
12.5	-220 DK	69%	bayern munich	Aleksandar Pavlovic	tackles	o 1.5	-	-220	-	-475	-	-	40%	42%	0,1,1,1,5,4,1,5,1,3	🟡	90,57,80,67,90
12.5	350 365	22%	cardiff	Cian Ashford	tackles	o 2.5	-	'+240	'+350	-	-	-	0%	6%	2,0,2,0,2,0,0,0,0,1	-	67,81,10,15,84
12.3	-137 BR	58%	fiorentina	Danilo Cataldi	shots	o 0.5	-340	-	-	-160	-137/-121	-	40%	50%	0,1,1,1,0,0,0,0,0,1	🟡	12,,29,54,90
12.3	800 365	11%	aston villa	Morgan Rogers	shots	o 4.5	'+470	-	'+800	-	-	-	-%	-%		-	
12.2	245 BR	29%	fiorentina	Danilo Cataldi	shots_on_target	o 0.5	'+150	-	-	200	245/-480	-	20%	20%	0,1,1,0,0,0,0,0,0,0	🟡	12,,29,54,90
12.1	162 365	38%	aston villa v cardiff	Marco Asensio	shots	o 3.5	'+115	-	'+162	-	-	-	-%	-%		-	
11.9	750 FD	12%	monaco	Takumi Minamino	shots	o 5.5	'+750	-	'+450	-	-	-	-%	-%		🟡	
11.9	750 FD	12%	reims	Aurelio Buta	shots	o 1.5	'+750	-	'+450	-	-	-	-%	-%			
11.8	-380 DK	79%	bayern munich	Jamal Musiala	tackles	o 0.5	-	-380	-	-1600	-	-	70%	73%	0,2,1,1,1,1,0,2,0,3	🟡	90,86,85,89,84
11.8	-103 BR	51%	fiorentina	Luca Ranieri	shots	o 0.5	-210	-	-	-115	-103/-165	-	30%	28%	0,1,0,1,0,0,1,0,0,0	🟡	90,90,90,90,72
11.4	-285 DK	74%	valladolid	Eray Comert	tackles	o 0.5	-	-285	-	-700	-	-	50%	59%	1,1,1,3,0,0,2,0,0,0	🟡	85,90,90,9,26
11.4	140 BR	42%	monaco	Mika Biereth	shots_on_target	o 1.5	-120	-	-	110	140	'+110	-%	-%		🟡	
11.2	-390 DK	80%	lecce	Tete Morente	tackles	o 0.5	-	-390	-	-1600	-	-	50%	55%	1,0,0,0,0,1,1,3,0,3	🟡	82,35,69,90,81
11.1	185 FD	35%	bayern munich	Harry Kane	shots	o 4.5	'+185	-	-	110	118/-205	-	30%	25%	7,5,1,3,4,5,2,1,2,1	🟡	90,90,90,45,27
11.1	-265 BR	73%	aston villa	Donyell Malen	shots	o 1.5	-1050	-	-450	-	-265/148	-	-%	-%		-	
10.9	-127 BR	56%	stuttgart	Yannik Keitel	shots	o 0.5	-195	-	-	-	-127/-136	-	20%	20%	0,3,0,0,0,4,0,0,0,0		80,13,11,21,14
10.8	-195 BR	66%	monaco	Krepin Diatta	shots	o 0.5	-1400	-	-	-260	-195	-230	-%	-%		🟡	
10.8	1200 FD	8%	lecce	Lassana Coulibaly	shots	o 1.5	'+1200	-	'+500	800	-	-	0%	0%	0,0,0,0,0,0,0,0,0,0	🟡	45,35,90,90,90
10.7	-175 FD	64%	reims	Keito Nakamura	shots	o 1.5	-175	-	-225	-360	-	-350	-%	-%		🟡	
10.7	-175 BR	64%	cardiff	Chris Willock	shots	o 0.5	-300	-	-	-	-175/-103	-	60%	61%	2,0,2,1,1,2,0,3,0,0	-	77,55,120,20,62
10.6	280 FD	26%	bayern munich	Leroy Sane	shots	o 3.5	'+280	-	'+200	-	-	-	10%	21%	2,2,0,8,1,1,1,0,1,3	🟡	10,64,23,27,90
10.0	180 BR	36%	lecce	Tete Morente	shots_on_target	o 0.5	'+110	-	-	160	180/-335	-	20%	22%	2,0,0,1,0,0,0,0,0,0	🟡	82,35,69,90,81
9.7	-145 CZ	59%	fiorentina	Nicolo Zaniolo	shots	o 1.5	-210	-	-250	-145	-	-	20%	27%	1,0,1,0,1,0,1,1,2,2	🟡	14,14,24,54,83
9.7	-190 BR	66%	aston villa v cardiff	Marcus Rashford	shots_on_target	o 0.5	-330	-	-	-	-190/115	-	-%	-%		-	
9.4	-112 BR	53%	sheffield wednesday	Josh Windass	shots_on_target	o 0.5	-160	-	-	-	-112/-143	-	30%	51%	0,0,0,0,1,1,0,2,0,0	-	90,90,90,45,77
9.3	108 BR	48%	stuttgart	Nick Woltemade	shots	o 1.5	-150	-	-	-110	108/-186	-	50%	48%	1,5,0,2,1,2,2,0,1,4	🟡	90,90,5,21,90
9.2	170 BR	37%	reims	Teddy Teuma	shots_on_target	o 0.5	-120	-	-	150	170	'+160	-%	-%		🟡	
9.2	275 DK	27%	aston villa	Lucas Digne	tackles	o 2.5	-	'+275	'+200	-	-	-	-%	-%		-	
9.1	-122 BR	55%	stuttgart	Justin Diehl	shots	o 1.5	-180	-	-	-	-122/-137	-	11%	11%	0,1,0,1,3,1,0,1,0		11,32,2,21,45
9.1	155 BR	39%	stuttgart	Ermedin Demirovic	shots	o 2.5	'+115	-	-	-	155/-295	-	10%	24%	1,4,2,2,2,2,1,0,0,0		69,90,21,7,9
8.8	230 BR	30%	aston villa	Matty Cash	shots_on_target	o 0.5	'+170	-	-	-	230/-435	-	-%	-%		-	
8.7	-280 DK	74%	bayern munich	Konrad Laimer	tackles	o 1.5	-	-280	-	-600	-	-	50%	35%	5,3,1,1,2,1,2,0,2,0	🟡	90,18,90,90,90
8.5	450 365	18%	reims	Sergio Akieme	shots	o 1.5	'+310	-	'+450	-	-	-	-%	-%		🟡	
8.5	-114 BR	53%	aston villa	Jacob Ramsey	shots_on_target	o 0.5	-160	-	-	-	-114/-137	-	-%	-%		-	
8.4	-340 DK	77%	valladolid	Javi Munoz	tackles	o 0.5	-	-340	-	-800	-	-	-%	-%			
8.4	123 BR	45%	stuttgart	Jamie Leweling	shots	o 1.5	-130	-	-	110	123/-210	-	10%	33%	1,0,6,1,1,0,1,1,1,1	🟡	58,21,85,69,72
8.3	165 BR	38%	lecce	Frederic Guilbert	shots	o 0.5	'+100	-	-	155	165/-335	-	40%	36%	0,0,1,0,0,1,0,1,0,1	🟡	90,90,90,75,88
8.3	180 BR	36%	aston villa	Dimitrios Goutas	shots	o 0.5	'+135	-	-	-	180/-345	-	-%	-%		-	
8.2	-320 CZ	76%	valladolid	Selim Amallah	shots	o 0.5	-850	-	-600	-320	-	-	60%	65%	2,1,2,0,0,1,1,0,1,0	🟡	60,34,90,90,45
8.2	333 365	23%	valladolid	Kenedy	shots	o 3.5	'+240	-	'+333	-	-	-	0%	0%	0,1		6,3
8.1	225 BR	31%	monaco	Vanderson	shots_on_target	o 0.5	'+120	-	-	200	225	'+200	-%	-%		🟡	
8.1	-175 DK	64%	lecce	Antonino Gallo	tackles	o 1.5	-	-175	-	-280	-	-	50%	58%	6,0,3,0,0,3,1,1,3,4	🟡	72,90,90,90,90
8.0	500 FD	17%	las palmas	Alberto Moleiro	shots_on_target	o 1.5	'+500	-	-	340	-	-	-%	-%		🟡	
8.0	-220 BR	69%	monaco	Takumi Minamino	shots	o 1.5	-550	-	-800	-260	-220	-250	-%	-%		🟡	
8.0	430 FD	19%	cardiff	Will Alves	shots	o 2.5	'+430	-	'+300	-	-	-	0%	0%	0,1,0,2,1,2,1	-	74,39,31,90,75
7.9	-125 CZ	56%	las palmas	Sandro Ramirez	shots_on_target	o 0.5	-180	-	-	-125	-	-	70%	50%	1,1,3,1,2,0,0,3,0,1	🟡	79,79,90,84,90
7.7	245 BR	29%	cardiff	Chris Willock	shots	o 1.5	'+150	-	'+225	-	245/-530	-	40%	29%	2,0,2,1,1,2,0,3,0,0	-	77,55,120,20,62
7.6	215 DK	32%	aston villa	Lamare Bogarde	tackles	o 2.5	-	'+215	'+162	-	-	-	-%	-%		-	
7.5	330 FD	23%	bayern munich	Michael Olise	shots	o 3.5	'+330	-	'+240	-	-	-	50%	26%	3,4,0,4,2,4,3,0,4,4	🟡	90,64,67,90,84
7.5	-425 DK	81%	reims	Junya Ito	tackles	o 0.5	-	-425	-	-1400	-	-1100	-%	-%		🟡	
7.5	150 FD	40%	fiorentina	Pablo Mari	shots	o 0.5	'+150	-	-	-	-103/-175	-	0%	9%	0,0,0,0,0,0,0,0,0,0		90,90,53,45,18
7.5	115 BR	47%	aston villa	John Mcginn	shots	o 1.5	-115	-	-	-	115/-200	-	-%	-%		-	
7.5	125 365	44%	cardiff	Ethan Horvath	saves	o 4.5	-	-105	'+125	-	-	-	14%	14%	2,0,3,4,7,2,1	-	90,90,90,120,90
7.3	-195 BR	66%	monaco	Maghnes Akliouche	shots	o 1.5	-280	-	-800	-240	-195	-230	-%	-%		🟡	
7.1	360 FD	22%	valladolid	Florian Grillitsch	shots	o 1.5	'+360	-	'+350	200	-	-	10%	14%	1,2,1,1,1,0,0,0,1,0	🟡	90,1,25,45,30
6.9	-113 BR	53%	bayern munich	Kingsley Coman	shots_on_target	o 0.5	-155	-	-	-	-113/-139	-	50%	50%	1,2,1,1,0,0,0,0,1,0		80,26,67,45,6
6.9	-113 BR	53%	monaco	George Ilenikhena	shots	o 2.5	-155	-	-	-	-113	-	-%	-%			
6.8	-167 BR	63%	monaco	Mika Biereth	shots	o 2.5	-200	-	-450	-220	-167	-220	-%	-%		🟡	
6.7	-143 BR	59%	monaco	Takumi Minamino	shots_on_target	o 0.5	-350	-	-	-160	-143	-160	-%	-%		🟡	
6.7	390 BR	20%	monaco	Mika Biereth	shots_on_target	o 2.5	'+280	-	-	-	390	-	-%	-%		🟡	
6.5	-215 BR	68%	stuttgart	Deniz Undav	shots	o 1.5	-440	-	-334	-280	-215/123	-	80%	73%	3,2,2,3,2,0,6,1,2,2	🟡	21,82,69,69,81
6.5	-225 365	69%	cardiff	Calum Chambers	tackles	o 1.5	-	-370	-225	-	-	-	50%	37%	5,1,2,1,0,4,1,0,3,4	-	90,90,64,90,77
6.4	-140 DK	58%	reims	Amadou Kone	tackles	o 2.5	-	-140	-	-190	-	-200	-%	-%		🟡	
6.3	-400 FD	80%	las palmas	Fabio Silva	shots	o 1.5	-400	-	-1000	-	-	-	70%	68%	0,2,2,2,1,1,2,3,3,3		75,79,68,90,90
6.3	155 BR	39%	stuttgart	Leonidas Stergiou	shots	o 0.5	'+120	-	-	-	155/-295	-	10%	8%	0,0,0,0,0,0,1,0,0,0		31,90,90,90,90
6.3	-400 BR	80%	monaco	Breel Embolo	shots	o 1.5	-1000	-	-1000	-	-400	-	-%	-%			
6.3	-110 DK	52%	cardiff	Andy Rinomhota	tackles	o 2.5	-	-110	-150/+110	-	-	-	60%	43%	4,4,5,5,1,0,3,2,0,4	-	120,81,62,90,90
6.2	200 FD	33%	fiorentina	Moise Kean	shots_on_target	o 1.5	'+200	-	-	-	138/-225	-	40%	31%	0,2,0,0,3,0,1,4,0,2		90,82,89,90,66
6.2	-121 BR	55%	aston villa	Ollie Watkins	shots	o 3.5	-165	-	-	-	-121/-137	-	-%	-%		-	
6.0	-185 DK	65%	monaco	Denis Zakaria	tackles	o 1.5	-	-185	-	-280	-	-275	-%	-%		🟡	
6.0	-155 FD	61%	fiorentina	Lucas Beltran	shots	o 1.5	-155	-	-250	-300	-265/148	-	10%	28%	1,2,1,1,1,0,0,0,0,0	🟡	70,89,66,90,90
5.9	-103 BR	51%	aston villa	Morgan Rogers	shots	o 2.5	-135	-	-	-	-103/-175	-	-%	-%		-	
5.8	100 FD	50%	fiorentina	Michael Folorunsho	shots_on_target	o 0.5	'+100	-	-	-	-143/-110	-	20%	14%	0,0,0,0,0,1,0,0,1,0		85,90,29,90,71
5.8	-235 BR	70%	fiorentina	Nicolo Fagioli	shots	o 0.5	-650	-	-	-260	-235/133	-	10%	44%	2,0,0,0,0,0,0,0,0,0	🟡	4,8,25,90,24
5.7	-180 BR	64%	stuttgart	Chris Fuhrich	shots	o 0.5	-320	-	-300	-200	-180/105	-	70%	57%	2,0,2,0,2,2,3,1,0,3	🟡	32,69,69,83,90
5.6	-295 BR	75%	aston villa v cardiff	Marco Asensio	shots	o 1.5	-650	-	-450	-	-295/155	-	-%	-%		-	
5.3	700 365	12%	valladolid	Cenk Ozkacar	shots	o 1.5	'+450	-	'+700	-	-	-	0%	0%	0,0,0,1,0		3,90,13,90,90
5.3	700 FD	12%	bayern munich	Leroy Sane	shots	o 4.5	'+700	-	'+450	-	-	-	10%	6%	2,2,0,8,1,1,1,0,1,3	🟡	10,64,23,27,90
5.3	450 BR	18%	reims	Sergio Akieme	shots_on_target	o 0.5	'+320	-	-	-	450	-	-%	-%		🟡	
5.3	400 365	20%	aston villa	Ollie Watkins	shots	o 5.5	'+290	-	'+400	-	-	-	-%	-%		-	
5.2	133 BR	43%	stuttgart	Enzo Millot	shots_on_target	o 0.5	'+105	-	-	-	133/-220	-	30%	44%	0,1,1,1,0,0,0,0,0,0		79,8,76,90,9
5.1	-286 BR	74%	monaco	Lamine Camara	shots	o 0.5	-600	-	-1000	-360	-286	-350	-%	-%		🟡	
5.1	120 365	45%	cardiff	Chris Willock	tackles	o 1.5	-	-105	'+120/-163	-	-	-	40%	26%	1,1,2,2,3,0,1,0,0,2	-	77,55,120,20,62
5.1	240 365	29%	aston villa v cardiff	Andres Garcia	tackles	o 2.5	-	'+185	'+240	-	-	-	-%	-%		-	
5.0	-175 BR	64%	stuttgart	Ermedin Demirovic	shots	o 1.5	-250	-	-	-	-175/-103	-	50%	61%	1,4,2,2,2,2,1,0,0,0		69,90,21,7,9
5.0	-265 BR	73%	monaco	Breel Embolo	shots_on_target	o 0.5	-430	-	-	-	-265	-	-%	-%			
5.0	165 BR	38%	fiorentina	Nicolo Fagioli	shots_on_target	o 0.5	-	-	-	130	165/-295	-	0%	11%	0,0,0,0,0,0,0,0,0,0	🟡	4,8,25,90,24
4.9	-155 BR	61%	monaco	Vanderson	shots	o 0.5	-340	-	-	-180	-155	-170	-%	-%		🟡	
4.8	500 FD	17%	bayern munich	Eric Dier	shots	o 1.5	'+500	-	'+350	-	-	-	0%	0%	0,0,0,0,0,1,1,1,0,1	🟡	90,90,90,90,90
4.6	245 BR	29%	stuttgart	Josha Vagnoman	shots_on_target	o 0.5	'+190	-	-	-	245/-480	-	30%	21%	1,0,0,1,0,0,0,0,0,1	🟡	89,90,59,21,87
4.5	-114 BR	53%	reims	Keito Nakamura	shots_on_target	o 0.5	-180	-	-	-135	-114	-130	-%	-%		🟡	
4.4	190 BR	34%	sheffield wednesday	Stuart Armstrong	shots_on_target	o 0.5	'+150	-	-	-	190/-345	-	20%	24%	0,0,0,0,0,0,0,1,1,0	-	45,53,33,70,66
4.3	-112 BR	53%	fiorentina	Nicolo Zaniolo	shots_on_target	o 0.5	-145	-	-	-140	-112/-141	-	30%	27%	0,0,0,0,1,0,0,0,1,1	🟡	14,14,24,54,83
4.2	-280 FD	74%	bayern munich	Thomas Muller	shots	o 1.5	-280	-	-450	-	-	-	30%	25%	0,2,1,0,0,2,1,0,0,3		61,33,4,1,63
4.2	150 365	40%	aston villa	Ollie Watkins	tackles	o 0.5	-	'+120	'+150/-200	-	-	-	-%	-%		-	
4.1	-115 DK	53%	aston villa	Lucas Digne	tackles	o 1.5	-	-115	-150/+110	-	-	-	-%	-%		-	
4.1	-125 365	56%	aston villa v cardiff	Andres Garcia	tackles	o 1.5	-	-160	-125/-110	-	-	-	-%	-%		-	
4.0	-148 BR	60%	stuttgart	Deniz Undav	shots_on_target	o 0.5	-210	-	-	-180	-148/-106	-	70%	70%	2,1,0,1,0,0,2,1,1,2	🟡	21,82,69,69,81
4.0	-148 BR	60%	monaco	Maghnes Akliouche	shots_on_target	o 0.5	-195	-	-	-200	-148	-190	-%	-%		🟡	
4.0	250 365	29%	aston villa	Leon Bailey	shots	o 3.5	'+195	-	'+250	-	-	-	-%	-%		-	
3.9	240 FD	29%	bayern munich	Jamal Musiala	shots	o 3.5	'+240	-	'+162	220	-	-	20%	24%	1,5,1,2,5,2,0,0,3,3	🟡	90,86,85,89,84
3.9	-315 BR	76%	aston villa v cardiff	Marcus Rashford	shots	o 1.5	-550	-	-500	-	-315/165	-	-%	-%		-	
3.8	380 BR	21%	stuttgart	Angelo Stiller	shots_on_target	o 0.5	'+250	-	-	320	380/-1000	-	10%	21%	0,0,0,0,0,0,0,0,0,1	🟡	90,90,90,90,90
