EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi
-2.1	-	-2400 FD	england @ italy	home_corners	u 6.5	820/-2400	-	-	-	1500/-5000	-	-	-	-
-2.1	-	-450 PB	england @ italy	away_corners	u 7.5	370/-600	-	-	-	290/-450	-	-	-	-
-2.2	-	-120 PB	serbia @ montenegro	total	o 2.5	-138/100	-130/+105	-135/-105	-	-120/-105	-	-127/102	-	-
-2.2	-	-180 PB	northern ireland @ slovenia	away_total	o 0.5	-194/150	-210/+155	-	-	-180/140	-	-205/155	-	-
-2.3	-1.2	145 MGM	peru @ argentina	corners	o 9.5	130/-176	-	145/-225	-	-	129/-166	-	-	-
-2.3	-	154 FD	paraguay @ bolivia	1h_away_total	u 0.5	-200/154	-	-190/130	-	-	-	-	-	-
-2.3	-	-190 MGM	northern ireland @ slovenia	2h_away_corners	u 2.5	-	-	125/-190	-	155/-230	-	-	-	-
-2.3	-	172 FD	guyana @ puerto rico	1h_total	o 1.5	172/-225	-	145/-210	-	-	-	-	-	-
-2.4	-	-3300 BV	sporting sj @ municipal grecia	1h_away_total	u 2.5	1750/-4500	-	-	'+1200/-3300	-	-	-	-	-
-2.4	-	-15000 MGM	serbia @ montenegro	total	u 6.5	3300/-30000	-	2000/-15000	-	3000/-20000	-	-	-	-
-2.4	-	-375 PB	serbia @ montenegro	home_corners	o 1.5	-	-	-	-	-375/240	-	-455/310	-	-
-2.4	-	116 FD	peru @ argentina	home_total	u 1.5	-148/116	-	-145/100	-	-	-	-	-	-
-2.4	-	132 FD	malta @ ukraine	home_total	o 2.5	132/-170	'+115/-155	110/-155	-	120/-160	-	123/-167	-	-
-2.4	-	-140 MGM	malta @ ukraine	2h_away_corners	u 1.5	-	-	-105/-140	-	115/-160	-	-	-	-
-2.4	-	-130 FD	guyana @ puerto rico	total	o 2.5	-130/-103	-	-150/105	-	-	-	-	-	-
-2.4	-	-8000 FD	england @ italy	1h_total	u 3.5	3200/-8000	-	2200/-50000	-	3000/-17241	-	-	-	-
-2.5	-	-4500 FD	serbia @ montenegro	corners	u 14.5	1240/-4500	-	-	-	2000/-8929	-	-	-	-
-2.5	-	-1400 MGM	san marino @ denmark	1h_total	u 4.5	-	-	675/-1400	-	-	-	950/-2500	-	-
-2.5	-	-5000 MGM	peru @ argentina	total	u 5.5	2100/-5000	-	1450/-5000	-	-	-	-	-	-
-2.5	-	450 FD	paraguay @ bolivia	away_total	o 3.5	450/-720	-	340/-550	-	-	-	-	-	-
-2.5	-	-40000 PB	malta @ ukraine	away_total	u 2.5	3500/-50000	-	-	-	5000/-40000	-	-	-	-
-2.5	-	-4500 FD	malta @ ukraine	away_corners	u 6.5	1140/-4500	-	-	-	2000/-8929	-	-	-	-
-2.5	-	-1400 MGM	malta @ ukraine	1h_home_total	u 2.5	1020/-2000	-	675/-1400	-	900/-1748	-	-	-	-
-2.5	-	100 FD	lithuania @ hungary	total	o 2.5	100/-138	-105/-120	-115/-120	-	-105/-120	-	-107/-115	-	-
-2.5	-	215 FD	lithuania @ hungary	home_total	o 2.5	215/-290	'+190/-255	175/-250	-	190/-260	-	188/-250	-	-
-2.5	-	-8000 FD	lithuania @ hungary	away_corners	u 6.5	2200/-8000	-	-	-	2500/-12500	-	-	-	-
-2.5	-	195 DK	haverfordwest @ penybont	away_total	u 0.5	-	-285/+195	-	-230/+171	-	-	-	1.0 - 2.7 - 3.7	1.3 - 1.4 - 2.8
-2.5	-	-8000 FD	england @ italy	corners	u 15.5	1900/-8000	-	-	-	2500/-12500	-	-	-	-
-2.6	-	-128 BV	sporting sj @ municipal grecia	away_total	o 1.5	-138/108	-	-	-128/-102	-	-	-	-	-
