EV	PN EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	CZ	PN	Kambi	ESPN
-10.0	-	260 ESPN	atalanta v real madrid	kylian mbappe	team_fgs	o 0.5	-	-	-	-	240	-	-	'+260
-10.1	-	240 BR	burnley v derby	jay rodriguez	atgs	o 0.5	-	-	210	-	240	-	240	-
-10.3	-	340 CZ	brest v psv	ricardo pepi	team_fgs	o 0.5	-	-	-	-	340	-	-	'+300
-10.4	-	220 CZ	club brugge v sporting lisbon	viktor gyokeres	team_fgs	o 0.5	-	-	-	-	220	-	-	'+210
-10.4	-	800 FD	club brugge v sporting lisbon	hugo vetlesen	atgs	o 0.5	'+800	-	650	-	550	-	-	'+475
-10.4	-	900 CZ	burnley v derby	hannibal mejbri	atgs	o 0.5	-	-	-	-	900	-	600	-
-10.5	-	280 CZ	club brugge v sporting lisbon	romeo vermant	atgs	o 0.5	'+270	'+250	260	-	280	-	255	'+250
-10.7	-	310 MGM	plymouth v swansea	ryan hardie	atgs	o 0.5	-	-	310	-	280	-	-	-
-10.8	-	1100 FD	brest v psv	mauro junior	atgs	o 0.5	'+1100	'+1100	-	-	525	-	-	'+400
-11.2	-	1000 FD	shakhtar v bayern munich	adam aznou	atgs	o 0.5	'+1000	'+900	900	-	500	-	460	'+450
-11.5	-	280 BR	sheffield wednesday v blackburn	yuki ohashi	atgs	o 0.5	-	-	260	-	-	-	280	-
-11.5	-	280 CZ	salzburg v paris st germain	randal kolo muani	team_fgs	o 0.5	-	-	-	-	280	-	-	'+260
-11.5	-	340 BR	club brugge v sporting lisbon	francisco trincao	atgs	o 0.5	-	-	333	-	320	-	340	'+260
-11.5	-	280 CZ	atalanta v real madrid	mateo retegui	team_fgs	o 0.5	-	-	-	-	280	-	-	'+260
-11.6	-	320 CZ	brest v psv	luuk de jong	team_fgs	o 0.5	-	-	-	-	320	-	-	'+290
-11.8	-	215 BR	sunderland v bristol city	wilson isidor	atgs	o 0.5	-	-	-	-	210	-	215	-
-12.0	-	360 CZ	salzburg v paris st germain	marco asensio	team_fgs	o 0.5	-	-	-	-	360	-	-	'+320
-12.0	-	360 BR	leeds v middlesbrough	tommy conway	atgs	o 0.5	-	-	320	-	320	-	360	-
-12.0	-	360 CZ	brest v psv	hirving lozano	team_fgs	o 0.5	-	-	-	-	360	-	-	'+320
-12.1	-	450 CZ	leipzig v aston villa	antonio eromonsele nordby nusa	atgs	o 0.5	-	-	-	-	450	-	-	'+380
-12.2	-	290 MGM	plymouth v swansea	myles peart harris	atgs	o 0.5	-	-	290	-	-	-	270	-
-12.4	-	330 FD	leverkusen v inter	nicolo barella	score_or_assist	o 0.5	'+330	'+300	-	-	-	-	-	-
-12.5	-	250 MGM	burnley v derby	andreas hountondji	atgs	o 0.5	-	-	250	-	240	-	-	-
-12.7	-	400 CZ	sheffield wednesday v blackburn	anthony musaba	atgs	o 0.5	-	-	350	-	400	-	-	-
-12.8	-	540 BR	leipzig v aston villa	antonio nusa	atgs	o 0.5	'+480	'+380	450	-	-	-	540	-
-12.9	-	470 FD	salzburg v paris st germain	warren zaire emery	atgs	o 0.5	'+470	'+400	360	-	450	-	410	'+360
-13.0	-	1000 BR	sunderland v bristol city	jason knight	atgs	o 0.5	-	-	-	-	650	-	1000	-
-13.1	-	525 CZ	leverkusen v inter	davide frattesi	atgs	o 0.5	'+460	'+500	380	-	525	-	410	'+400
-13.1	-	260 CZ	leipzig v aston villa	lois openda	team_fgs	o 0.5	-	-	-	-	260	-	-	'+250
-13.3	-	2000 MGM	burnley v derby	lucas pires	atgs	o 0.5	-	-	2000	-	1200	-	600	-
-13.3	-	1500 FD	brest v psv	richard ledezma	atgs	o 0.5	'+1500	'+1400	-	-	550	-	-	'+450
-13.4	-	470 FD	leverkusen v inter	jeremie frimpong	atgs	o 0.5	'+470	'+350	375	-	425	-	460	'+380
-13.6	-	380 MGM	plymouth v swansea	freddie issaka	atgs	o 0.5	-	-	380	-	-	-	340	-
-13.7	-	750 BR	burnley v derby	nathaniel mendez laing	atgs	o 0.5	-	-	550	-	550	-	750	-
-13.8	-	950 MGM	leverkusen v inter	exequiel palacios	atgs	o 0.5	'+500	'+800	950	-	700	-	575	'+600
-13.9	-	350 MGM	sheffield wednesday v blackburn	harry leonard	atgs	o 0.5	-	-	350	-	320	-	-	-
-13.9	-	380 FD	club brugge v sporting lisbon	hans vanaken	atgs	o 0.5	'+380	'+350	333	-	360	-	360	'+300
-13.9	-	360 FD	atalanta v real madrid	daniel yanez	atgs	o 0.5	'+360	'+320	333	-	-	-	-	-
-14.1	-	900 DK	salzburg v paris st germain	marquinhos	atgs	o 0.5	'+700	'+900	800	-	600	-	510	'+475
-14.1	-	475 CZ	club brugge v sporting lisbon	maximiliano araujo	atgs	o 0.5	'+460	'+350	425	-	475	-	-	'+380
-14.1	-	650 BR	brest v psv	mahdi camara	atgs	o 0.5	'+440	'+370	-	-	650	-	650	'+550
-14.2	-	800 BR	shakhtar v bayern munich	georgiy sudakov	atgs	o 0.5	-	'+500	450	-	750	-	800	'+600
-14.4	-	320 CZ	salzburg v paris st germain	bradley barcola	team_fgs	o 0.5	-	-	-	-	320	-	-	'+300
-14.4	-	320 CZ	club brugge v sporting lisbon	gustaf nilsson	team_fgs	o 0.5	-	-	-	-	320	-	-	'+300
-14.4	-	480 FD	brest v psv	mathias pereira lage	atgs	o 0.5	'+480	'+400	-	-	425	-	-	'+400
-15.0	-	265 BR	leeds v middlesbrough	wilfried gnonto	atgs	o 0.5	-	-	260	-	-	-	265	-
-15.1	-	290 ESPN	atalanta v real madrid	vinicius junior	team_fgs	o 0.5	-	-	-	-	280	-	-	'+290
-15.2	-	330 BR	leeds v middlesbrough	emmanuel latte lath	atgs	o 0.5	-	-	320	-	300	-	330	-
-15.3	-	430 BR	sunderland v bristol city	patrick roberts	atgs	o 0.5	-	-	-	-	380	-	430	-
-15.3	-	400 ESPN	shakhtar v bayern munich	mathys tel	team_fgs	o 0.5	-	-	-	-	360	-	-	'+400
-15.3	-	400 CZ	leverkusen v inter	marcus thuram	team_fgs	o 0.5	-	-	-	-	400	-	-	'+360
-15.3	-	430 BR	leverkusen v inter	hakan calhanoglu	atgs	o 0.5	'+420	'+400	340	-	400	-	430	'+340
-15.3	-	340 CZ	leipzig v aston villa	jaden philogene bidace	atgs	o 0.5	-	'+320	333	-	340	-	-	'+300
-15.3	-	480 BR	burnley v derby	jerry yates	atgs	o 0.5	-	-	425	-	400	-	480	-
-15.5	-	500 FD	brest v psv	ibrahim kante	atgs	o 0.5	'+500	'+425	-	-	-	-	-	-
-15.8	-	300 CZ	sheffield wednesday v blackburn	charlie mcneill	atgs	o 0.5	-	-	290	-	300	-	-	-
-15.9	-	850 FD	shakhtar v bayern munich	noel aseko nkili	atgs	o 0.5	'+850	'+800	775	-	-	-	240	-
-16.1	-	350 MGM	portsmouth v norwich	callum lang	atgs	o 0.5	-	-	350	-	320	-	335	-
-16.1	-	410 BR	luton v stoke	tahith chong	atgs	o 0.5	-	-	360	-	380	-	410	-
-16.1	-	425 MGM	leeds v middlesbrough	marcus forss	atgs	o 0.5	-	-	425	-	380	-	-	-
-16.1	-	425 CZ	brest v psv	malik tillman	team_fgs	o 0.5	-	-	-	-	425	-	-	'+380
-16.1	-	400 CZ	brest v psv	axel camblan	atgs	o 0.5	'+390	'+320	-	-	400	-	-	'+380
-16.2	-	360 BR	burnley v derby	luca koleosho	atgs	o 0.5	-	-	333	-	340	-	360	-
-16.2	-	550 FD	brest v psv	kamory doumbia	atgs	o 0.5	'+550	'+450	-	-	450	-	480	'+450
-16.4	-	310 MGM	sheffield wednesday v blackburn	makhtar gueye	atgs	o 0.5	-	-	310	-	300	-	-	-
-16.8	-	425 MGM	leipzig v aston villa	emiliano buendia	atgs	o 0.5	'+390	'+400	425	-	360	-	-	-
-16.8	-	475 CZ	burnley v derby	nathan redmond	atgs	o 0.5	-	-	400	-	475	-	430	-
-16.9	-	575 BR	sheffield wednesday v blackburn	barry bannan	atgs	o 0.5	-	-	475	-	475	-	575	-
-16.9	-	1700 FD	leverkusen v inter	jonathan tah	atgs	o 0.5	'+1700	'+900	950	-	900	-	800	'+750
-16.9	-	950 BR	burnley v derby	corey blackett taylor	atgs	o 0.5	-	-	600	-	700	-	950	-
-17.0	-	800 BR	luton v stoke	lynden gooch	atgs	o 0.5	-	-	625	-	550	-	800	-
-17.0	-	450 CZ	club brugge v sporting lisbon	romeo vermant	team_fgs	o 0.5	-	-	-	-	450	-	-	'+400
-17.0	-	450 CZ	brest v psv	noa lang	team_fgs	o 0.5	-	-	-	-	450	-	-	'+400
-17.2	-	360 CZ	club brugge v sporting lisbon	conrad harder	team_fgs	o 0.5	-	-	-	-	360	-	-	'+340
-17.4	-	600 BR	shakhtar v bayern munich	danylo sikan	atgs	o 0.5	'+600	'+500	475	-	500	-	600	'+380
-17.4	-	475 MGM	leeds v middlesbrough	finn azaz	atgs	o 0.5	-	-	475	-	425	-	410	-
-17.7	-	450 FD	shakhtar v bayern munich	raphael guerreiro	atgs	o 0.5	'+450	'+400	400	-	425	-	410	'+380
-17.8	-	800 FD	club brugge v sporting lisbon	maxim de cuyper	atgs	o 0.5	'+800	'+500	525	-	-	-	750	-
-18.1	-	430 BR	plymouth v swansea	matt grimes	atgs	o 0.5	-	-	425	-	360	-	430	-
-18.2	-	1000 FD	shakhtar v bayern munich	sacha boey	atgs	o 0.5	'+1000	'+900	900	-	500	-	-	'+400
-18.2	-	1000 BR	shakhtar v bayern munich	oleksandr zubkov	atgs	o 0.5	'+900	'+600	-	-	650	-	1000	'+550
-18.3	-	480 BR	luton v stoke	bae jun ho	atgs	o 0.5	-	-	425	-	-	-	480	-
-18.4	-	540 BR	plymouth v swansea	mustapha bundu	atgs	o 0.5	-	-	425	-	500	-	540	-
-18.5	-	360 BR	luton v stoke	andre vidigal	atgs	o 0.5	-	-	350	-	340	-	360	-
-18.5	-	300 FD	leverkusen v inter	granit xhaka	score_or_assist	o 0.5	'+300	'+300	-	-	-	-	-	-
-18.5	-	300 CZ	leipzig v aston villa	ollie watkins	team_fgs	o 0.5	-	-	-	-	300	-	-	'+300
-18.7	-	725 MGM	sheffield wednesday v blackburn	joe rankin costello	atgs	o 0.5	-	-	725	-	525	-	600	-
-18.7	-	380 CZ	shakhtar v bayern munich	leroy sane	team_fgs	o 0.5	-	-	-	-	380	-	-	'+360
-18.7	-	380 MGM	portsmouth v norwich	kaide gordon	atgs	o 0.5	-	-	380	-	-	-	360	-
-18.7	-	380 CZ	leverkusen v inter	marko arnautovic	team_fgs	o 0.5	-	-	-	-	380	-	-	'+360
-18.7	-	380 CZ	leverkusen v inter	florian wirtz	team_fgs	o 0.5	-	-	-	-	380	-	-	'+360
-18.7	-	380 CZ	club brugge v sporting lisbon	ferran jutgla	team_fgs	o 0.5	-	-	-	-	380	-	-	'+360
-18.8	-	700 CZ	club brugge v sporting lisbon	maxime de cuyper	atgs	o 0.5	-	-	-	-	700	-	-	'+550
-18.9	-	460 BR	salzburg v paris st germain	nene dorgeles	atgs	o 0.5	-	-	-	-	450	-	460	'+380
-19.2	-	600 CZ	shakhtar v bayern munich	aleksandar pavlovic	atgs	o 0.5	'+550	'+500	475	-	600	-	-	'+475
-19.2	-	600 CZ	leverkusen v inter	hakan calhanoglu	team_fgs	o 0.5	-	-	-	-	600	-	-	'+500
-19.2	-	600 MGM	leverkusen v inter	francis ikechukwu onyeka	atgs	o 0.5	-	'+500	600	-	-	-	-	-
-19.2	-	1000 FD	leverkusen v inter	federico dimarco	atgs	o 0.5	'+1000	'+500	850	-	750	-	700	'+600
-19.2	-	600 CZ	club brugge v sporting lisbon	hans vanaken	team_fgs	o 0.5	-	-	-	-	600	-	-	'+500
-19.2	-	600 CZ	brest v psv	ismael saibari	team_fgs	o 0.5	-	-	-	-	600	-	-	'+500
-19.6	-	320 CZ	leverkusen v inter	patrik schick	team_fgs	o 0.5	-	-	-	-	320	-	-	'+320
-19.6	-	320 CZ	leverkusen v inter	lautaro martinez	team_fgs	o 0.5	-	-	-	-	320	-	-	'+320
-19.7	-	550 CZ	shakhtar v bayern munich	joshua kimmich	atgs	o 0.5	'+480	'+500	475	-	550	-	440	'+475
-19.7	-	1050 MGM	burnley v derby	tom barkhuizen	atgs	o 0.5	-	-	1050	-	700	-	-	-
-20.0	-	550 CZ	leverkusen v inter	mehdi taremi	team_fgs	o 0.5	-	-	-	-	550	-	-	'+475
-20.0	-	550 CZ	club brugge v sporting lisbon	chemsdine talbi	team_fgs	o 0.5	-	-	-	-	550	-	-	'+475
-20.0	-	550 CZ	brest v psv	guus til	team_fgs	o 0.5	-	-	-	-	550	-	-	'+475
-20.1	-	400 CZ	leipzig v aston villa	andre silva	team_fgs	o 0.5	-	-	-	-	400	-	-	'+380
-20.2	-	1700 FD	brest v psv	fredrik oppegard	atgs	o 0.5	'+1700	-	-	-	1000	-	-	'+750
-20.3	-	600 CZ	leverkusen v inter	piotr zielinski	atgs	o 0.5	'+500	'+450	525	-	600	-	575	'+475
-20.7	-	425 CZ	shakhtar v bayern munich	arijon ibrahimovic	team_fgs	o 0.5	-	-	-	-	425	-	-	'+400
-20.7	-	425 CZ	salzburg v paris st germain	petar ratkov	team_fgs	o 0.5	-	-	-	-	425	-	-	'+400
-20.7	-	425 CZ	salzburg v paris st germain	lee kang in	team_fgs	o 0.5	-	-	-	-	425	-	-	'+400
-20.7	-	425 CZ	leipzig v aston villa	morgan rogers	team_fgs	o 0.5	-	-	-	-	425	-	-	'+400
-20.8	-	410 BR	sheffield wednesday v blackburn	tyrhys dolan	atgs	o 0.5	-	-	380	-	400	-	410	-
-20.8	-	340 CZ	shakhtar v bayern munich	jamal musiala	team_fgs	o 0.5	-	-	-	-	340	-	-	'+340
-20.8	-	340 CZ	leipzig v aston villa	benjamin sesko	team_fgs	o 0.5	-	-	-	-	340	-	-	'+340
-20.8	-	340 CZ	atalanta v real madrid	ademola lookman	team_fgs	o 0.5	-	-	-	-	340	-	-	'+340
-20.9	-	900 DK	club brugge v sporting lisbon	bjorn meijer	atgs	o 0.5	-	'+900	-	-	-	-	650	-
-21.0	-	500 FD	shakhtar v bayern munich	artem bondarenko	score_or_assist	o 0.5	'+500	'+450	-	-	-	-	-	-
-21.0	-	500 CZ	salzburg v paris st germain	desire doue	team_fgs	o 0.5	-	-	-	-	500	-	-	'+450
-21.0	-	500 FD	salzburg v paris st germain	dorgeles nene	atgs	o 0.5	'+500	'+425	475	-	-	-	-	-
-21.0	-	500 CZ	club brugge v sporting lisbon	francisco trincao	team_fgs	o 0.5	-	-	-	-	500	-	-	'+450
-21.1	-	460 BR	portsmouth v norwich	paddy lane	atgs	o 0.5	-	-	425	-	425	-	460	-
-21.2	-	700 CZ	portsmouth v norwich	matt ritchie	atgs	o 0.5	-	-	525	-	700	-	600	-
-21.7	-	500 MGM	leeds v middlesbrough	pascal struijk	atgs	o 0.5	-	-	500	-	425	-	480	-
-21.9	-	650 CZ	leeds v middlesbrough	ben doak	atgs	o 0.5	-	-	600	-	650	-	480	-
-22.0	-	1250 MGM	luton v stoke	daiki hashioka	atgs	o 0.5	-	-	1250	-	800	-	750	-
-22.3	-	1200 BR	sheffield wednesday v blackburn	lewis travis	atgs	o 0.5	-	-	725	-	800	-	1200	-
-22.4	-	490 FD	leipzig v aston villa	ben broggio	atgs	o 0.5	'+490	'+450	450	-	-	-	-	-
-22.6	-	450 MGM	atalanta v real madrid	hugo de llano	atgs	o 0.5	-	'+425	450	-	-	-	-	-
-22.9	-	1400 FD	salzburg v paris st germain	yoram zague	atgs	o 0.5	'+1400	'+1200	1150	-	650	-	600	'+500
-23.0	-	525 BR	salzburg v paris st germain	adam daghim	atgs	o 0.5	'+500	'+450	500	-	475	-	525	'+450
-23.0	-	410 FD	leipzig v aston villa	amadou haidara	score_or_assist	o 0.5	'+410	'+400	-	-	-	-	-	-
-23.0	-	525 CZ	club brugge v sporting lisbon	marcus edwards	team_fgs	o 0.5	-	-	-	-	525	-	-	'+475
-23.0	-	525 CZ	brest v psv	johan bakayoko	team_fgs	o 0.5	-	-	-	-	525	-	-	'+475
-23.1	-	550 MGM	burnley v derby	kayden jackson	atgs	o 0.5	-	-	550	-	500	-	480	-
-23.3	-	1200 FD	shakhtar v bayern munich	kevin	atgs	o 0.5	'+1200	-	-	-	750	-	950	'+600
-23.7	-	480 BR	sunderland v bristol city	yu hirakawa	atgs	o 0.5	-	-	-	-	450	-	480	-
-23.8	-	650 CZ	shakhtar v bayern munich	pedrinho	team_fgs	o 0.5	-	-	-	-	650	-	-	'+550
-23.9	-	750 CZ	shakhtar v bayern munich	eguinaldo	atgs	o 0.5	'+650	'+600	550	-	750	-	-	'+600
-24.0	-	525 CZ	sheffield wednesday v blackburn	svante ingelsson	atgs	o 0.5	-	-	500	-	525	-	460	-
-24.1	-	1300 MGM	plymouth v swansea	darko gyabi	atgs	o 0.5	-	-	1300	-	800	-	800	-
-24.3	-	475 CZ	leipzig v aston villa	christoph baumgartner	team_fgs	o 0.5	-	-	-	-	475	-	-	'+450
-24.3	-	475 CZ	club brugge v sporting lisbon	andreas skov olsen	team_fgs	o 0.5	-	-	-	-	475	-	-	'+450
-24.6	-	1650 MGM	atalanta v real madrid	rafael toloi	atgs	o 0.5	'+800	'+1600	1650	-	800	-	575	'+650
-24.9	-	510 BR	leeds v middlesbrough	delano burgzorg	atgs	o 0.5	-	-	450	-	500	-	510	-
-25.0	-	550 CZ	shakhtar v bayern munich	lassina franck traore	team_fgs	o 0.5	-	-	-	-	550	-	-	'+500
-25.0	-	550 CZ	shakhtar v bayern munich	danylo sikan	team_fgs	o 0.5	-	-	-	-	550	-	-	'+500
-25.0	-	550 CZ	salzburg v paris st germain	nene dorgeles	team_fgs	o 0.5	-	-	-	-	550	-	-	'+500
-25.0	-	550 CZ	leverkusen v inter	nathan tella	team_fgs	o 0.5	-	-	-	-	550	-	-	'+500
-25.0	-	550 CZ	leipzig v aston villa	jaden philogene bidace	team_fgs	o 0.5	-	-	-	-	550	-	-	'+500
-25.3	-	475 MGM	sheffield wednesday v blackburn	ryan hedges	atgs	o 0.5	-	-	475	-	450	-	460	-
-25.6	-	525 BR	leeds v middlesbrough	joe rothwell	atgs	o 0.5	-	-	450	-	525	-	525	-
-25.7	-	1700 MGM	plymouth v swansea	nathan tjoe a on	atgs	o 0.5	-	-	1700	-	900	-	-	-
-26.1	-	1100 CZ	shakhtar v bayern munich	marlon gomes claudino	atgs	o 0.5	-	-	-	-	1100	-	-	'+750
-26.1	-	800 DK	leverkusen v inter	robert andrich	atgs	o 0.5	'+750	'+800	550	-	700	-	575	'+600
-26.1	-	1100 FD	leverkusen v inter	arthur	atgs	o 0.5	'+1100	-	-	-	-	-	-	'+750
-26.1	-	500 CZ	club brugge v sporting lisbon	christos tzolis	team_fgs	o 0.5	-	-	-	-	500	-	-	'+475
-26.1	-	500 CZ	atalanta v real madrid	marco brescianini	team_fgs	o 0.5	-	-	-	-	500	-	-	'+475
-26.1	-	500 CZ	atalanta v real madrid	arda guler	team_fgs	o 0.5	-	-	-	-	500	-	-	'+475
-26.1	-	1100 FD	atalanta v real madrid	antonio rudiger	score_or_assist	o 0.5	'+1100	'+750	-	-	-	-	-	-
-26.4	-	1050 BR	shakhtar v bayern munich	artem bondarenko	atgs	o 0.5	'+900	'+800	725	-	700	-	1050	'+550
-26.4	-	1000 FD	club brugge v sporting lisbon	raphael onyedika	atgs	o 0.5	'+1000	-	-	-	800	-	750	'+600
-26.7	-	500 DK	shakhtar v bayern munich	lassina traore	atgs	o 0.5	'+480	'+500	475	-	-	-	-	-
-26.7	-	950 MGM	club brugge v sporting lisbon	raphael onyedika nwadike	atgs	o 0.5	-	'+700	950	-	-	-	-	-
-27.3	-	550 MGM	leipzig v aston villa	nuha jatta	atgs	o 0.5	'+550	'+475	550	-	-	-	-	-
-27.6	-	450 CZ	shakhtar v bayern munich	thomas muller	team_fgs	o 0.5	-	-	-	-	450	-	-	'+450
-27.6	-	450 CZ	shakhtar v bayern munich	michael olise	team_fgs	o 0.5	-	-	-	-	450	-	-	'+450
-27.6	-	450 CZ	leverkusen v inter	martin terrier	team_fgs	o 0.5	-	-	-	-	450	-	-	'+450
-27.6	-	450 CZ	atalanta v real madrid	rodrygo	team_fgs	o 0.5	-	-	-	-	450	-	-	'+450
-27.8	-	1700 MGM	leverkusen v inter	carlos augusto	atgs	o 0.5	'+1300	'+600	1700	-	1100	-	800	'+750
-27.9	-	525 CZ	salzburg v paris st germain	moussa kounfolo yeo	team_fgs	o 0.5	-	-	-	-	525	-	-	'+500
-27.9	-	525 MGM	portsmouth v norwich	owen moxon	atgs	o 0.5	-	-	525	-	500	-	-	-
-27.9	-	800 DK	leverkusen v inter	granit xhaka	atgs	o 0.5	'+700	'+800	675	-	700	-	550	'+600
-27.9	-	525 CZ	brest v psv	romain del castillo	team_fgs	o 0.5	-	-	-	-	525	-	-	'+500
-27.9	-	525 CZ	brest v psv	abdallah sima	team_fgs	o 0.5	-	-	-	-	525	-	-	'+500
-27.9	-	525 CZ	atalanta v real madrid	lazar samardzic	team_fgs	o 0.5	-	-	-	-	525	-	-	'+500
-28.2	-	1700 BR	sheffield wednesday v blackburn	owen beck	atgs	o 0.5	-	-	725	-	1100	-	1700	-
-28.3	-	700 BR	shakhtar v bayern munich	maryan shved	atgs	o 0.5	-	-	550	-	700	-	700	'+550
-28.3	-	700 CZ	leipzig v aston villa	antonio eromonsele nordby nusa	team_fgs	o 0.5	-	-	-	-	700	-	-	'+600
-28.5	-	525 MGM	leeds v middlesbrough	riley mcgree	atgs	o 0.5	-	-	525	-	525	-	480	-
-28.8	-	1400 CZ	shakhtar v bayern munich	viktor tsukanov	atgs	o 0.5	-	-	-	-	1400	-	-	'+850
-28.8	-	800 CZ	leverkusen v inter	sadik fofana	atgs	o 0.5	-	-	-	-	800	-	-	'+650
-28.8	-	800 FD	club brugge v sporting lisbon	alexandre brito	atgs	o 0.5	'+800	'+600	700	-	-	-	-	-
-28.8	-	800 CZ	atalanta v real madrid	francisco garcia	atgs	o 0.5	-	-	-	-	800	-	-	'+650
-28.9	-	600 CZ	sheffield wednesday v blackburn	amario cozier duberry	atgs	o 0.5	-	-	550	-	600	-	-	-
-28.9	-	600 CZ	salzburg v paris st germain	adam daghim	team_fgs	o 0.5	-	-	-	-	600	-	-	'+550
-28.9	-	600 CZ	salzburg v paris st germain	achraf hakimi	team_fgs	o 0.5	-	-	-	-	600	-	-	'+550
-28.9	-	600 CZ	club brugge v sporting lisbon	casper nielsen	team_fgs	o 0.5	-	-	-	-	600	-	-	'+550
-28.9	-	600 CZ	brest v psv	axel camblan	team_fgs	o 0.5	-	-	-	-	600	-	-	'+550
-28.9	-	600 CZ	atalanta v real madrid	nicolo zaniolo	team_fgs	o 0.5	-	-	-	-	600	-	-	'+550
-29.2	-	475 CZ	brest v psv	mama balde	team_fgs	o 0.5	-	-	-	-	475	-	-	'+475
-29.2	-	475 CZ	brest v psv	ibrahim salah	team_fgs	o 0.5	-	-	-	-	475	-	-	'+475
-29.2	-	475 CZ	atalanta v real madrid	charles de ketelaere	team_fgs	o 0.5	-	-	-	-	475	-	-	'+475
-29.6	-	1200 MGM	leverkusen v inter	yann aurel bisseck	atgs	o 0.5	-	'+800	1200	-	-	-	-	-
-29.7	-	800 DK	atalanta v real madrid	davide zappacosta	atgs	o 0.5	'+650	'+800	775	-	600	-	750	'+500
-29.8	-	1600 CZ	sunderland v bristol city	aji alese	atgs	o 0.5	-	-	-	-	1600	-	900	-
-30.1	-	900 BR	sunderland v bristol city	dennis cirkin	atgs	o 0.5	-	-	-	-	700	-	900	-
-30.1	-	900 MGM	sheffield wednesday v blackburn	marvin johnson	atgs	o 0.5	-	-	900	-	600	-	800	-
-30.1	-	900 CZ	shakhtar v bayern munich	kevin	team_fgs	o 0.5	-	-	-	-	900	-	-	'+700
-30.1	-	900 CZ	shakhtar v bayern munich	georgiy sudakov	team_fgs	o 0.5	-	-	-	-	900	-	-	'+700
-30.1	-	900 CZ	shakhtar v bayern munich	eguinaldo	team_fgs	o 0.5	-	-	-	-	900	-	-	'+700
-30.1	-	900 CZ	salzburg v paris st germain	joao pedro goncalves neves	team_fgs	o 0.5	-	-	-	-	900	-	-	'+700
-30.1	-	900 CZ	salzburg v paris st germain	fabian ruiz	team_fgs	o 0.5	-	-	-	-	900	-	-	'+700
-30.1	-	900 BR	salzburg v paris st germain	willian pacho	atgs	o 0.5	'+700	-	-	-	-	-	900	-
-30.1	-	900 BR	portsmouth v norwich	anis ben slimane	atgs	o 0.5	-	-	700	-	-	-	900	-
-30.1	-	900 CZ	leverkusen v inter	piotr zielinski	team_fgs	o 0.5	-	-	-	-	900	-	-	'+700
-30.1	-	900 CZ	club brugge v sporting lisbon	hugo vetlesen	team_fgs	o 0.5	-	-	-	-	900	-	-	'+700
-30.1	-	900 CZ	brest v psv	joey veerman	team_fgs	o 0.5	-	-	-	-	900	-	-	'+700
-30.5	-	1000 DK	salzburg v paris st germain	nuno mendes	atgs	o 0.5	'+950	'+1000	950	-	650	-	650	'+500
-31.1	-	950 MGM	leeds v middlesbrough	jayden bogle	atgs	o 0.5	-	-	950	-	700	-	750	-
-31.4	-	1200 DK	salzburg v paris st germain	milan skriniar	atgs	o 0.5	'+900	'+1200	1150	-	750	-	650	'+600
-32.2	-	1000 MGM	burnley v derby	marcus harness	atgs	o 0.5	-	-	1000	-	750	-	-	-
-32.2	-	1000 CZ	brest v psv	mauro junior	team_fgs	o 0.5	-	-	-	-	1000	-	-	'+750
-32.7	-	750 CZ	shakhtar v bayern munich	oleksandr zubkov	team_fgs	o 0.5	-	-	-	-	750	-	-	'+650
-32.7	-	750 CZ	leverkusen v inter	tajon buchanan	team_fgs	o 0.5	-	-	-	-	750	-	-	'+650
-32.7	-	750 CZ	leverkusen v inter	davide frattesi	team_fgs	o 0.5	-	-	-	-	750	-	-	'+650
-32.7	-	750 CZ	club brugge v sporting lisbon	maximiliano araujo	team_fgs	o 0.5	-	-	-	-	750	-	-	'+650
-32.7	-	750 CZ	club brugge v sporting lisbon	geny catamo	team_fgs	o 0.5	-	-	-	-	750	-	-	'+650
-32.8	-	650 FD	shakhtar v bayern munich	marian shved	atgs	o 0.5	'+650	'+600	-	-	-	-	-	-
-32.8	-	650 BR	leeds v middlesbrough	ao tanaka	atgs	o 0.5	-	-	650	-	550	-	650	-
-32.8	-	650 CZ	brest v psv	kamory doumbia	team_fgs	o 0.5	-	-	-	-	650	-	-	'+600
-32.8	-	650 CZ	atalanta v real madrid	brahim diaz	team_fgs	o 0.5	-	-	-	-	650	-	-	'+600
-32.9	-	1100 DK	brest v psv	ryan flamingo	atgs	o 0.5	'+1000	'+1100	-	-	750	-	800	'+600
-33.3	-	600 CZ	plymouth v swansea	callum wright	atgs	o 0.5	-	-	575	-	600	-	575	-
-33.6	-	1100 FD	shakhtar v bayern munich	kim min jae	atgs	o 0.5	'+1100	-	775	-	-	-	850	'+750
-33.6	-	750 FD	leverkusen v inter	nicolo barella	atgs	o 0.5	'+750	'+600	625	-	750	-	700	'+600
-33.6	-	1300 BR	brest v psv	kenny lala	atgs	o 0.5	'+1100	'+700	-	-	900	-	1300	'+700
-34.0	-	1200 BR	plymouth v swansea	adam randell	atgs	o 0.5	-	-	750	-	900	-	1200	-
-34.0	-	550 CZ	atalanta v real madrid	mario pasalic	team_fgs	o 0.5	-	-	-	-	550	-	-	'+550
-34.0	-	550 CZ	atalanta v real madrid	jude bellingham	team_fgs	o 0.5	-	-	-	-	550	-	-	'+550
-34.1	-	800 BR	salzburg v paris st germain	lucas beraldo	atgs	o 0.5	-	'+700	625	-	800	-	800	'+600
